|6.6.6
pyrolite_1.tab                                                                                      
           2
P(bar)  
   1.0000000000000000     
   15000.090000000000     
         101
T(K)    
   200.00000000000000     
   40.000000000000000     
         101
          14
P(bar)         T(K)           rho,kg/m3      alpha,1/K      beta,1/bar     Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        s,J/K/kg       h,J/kg         cp,J/K/kg      V,J/bar/mol   
 0.139501E+007   680.000        5770.04       0.105798E-004  0.144764E-006  0.698321E+007  0.343226E+007   11.0012        14.1541        7.71260        919.675       0.154093E+008   986.950        1.71940     
 0.141001E+007   680.000        5782.76       0.105026E-004  0.143778E-006  0.703053E+007  0.344938E+007   11.0262        14.1813        7.72330        916.596       0.156669E+008   985.818        1.71562     
 0.142501E+007   680.000        5795.39       0.104265E-004  0.142806E-006  0.707787E+007  0.346646E+007   11.0512        14.2085        7.73395        913.559       0.159240E+008   984.694        1.71188     
 0.144001E+007   680.000        5807.96       0.103515E-004  0.141845E-006  0.712525E+007  0.348351E+007   11.0761        14.2356        7.74456        910.577       0.161805E+008   983.576        1.70817     
 0.145501E+007   680.000        5820.44       0.102776E-004  0.140897E-006  0.717264E+007  0.350053E+007   11.1010        14.2626        7.75513        907.638       0.164365E+008   982.464        1.70451     
 0.147001E+007   680.000        5832.85       0.102047E-004  0.139960E-006  0.722009E+007  0.351755E+007   11.1258        14.2895        7.76569        904.769       0.166920E+008   981.361        1.70088     
 0.148501E+007   680.000        5845.20       0.101328E-004  0.139037E-006  0.726749E+007  0.353450E+007   11.1505        14.3163        7.77615        901.915       0.169469E+008   980.262        1.69729     
 0.150001E+007   680.000        5857.48       0.100620E-004  0.138125E-006  0.731489E+007  0.355142E+007   11.1750        14.3430        7.78656        899.103       0.172014E+008   979.170        1.69373     
  1.00000        720.000        3214.23       0.295602E-004  0.949799E-006  0.109090E+007   630866.        5.82578        7.75303        4.43027        1574.04      -0.129879E+008   1140.37        3.08659     
  15001.1        720.000        3391.65       0.286185E-004  0.788672E-006  0.130452E+007   755551.        6.20184        8.25622        4.71983        1550.42      -0.125520E+008   1136.99        2.92512     
  30001.2        720.000        3431.43       0.267172E-004  0.744455E-006  0.137760E+007   778324.        6.33613        8.38984        4.76258        1537.04      -0.121220E+008   1133.60        2.89121     
  45001.3        720.000        3468.99       0.250486E-004  0.706085E-006  0.144873E+007   799204.        6.46238        8.51355        4.79985        1525.83      -0.116953E+008   1130.55        2.85991     
  60001.4        720.000        3513.93       0.248164E-004  0.669118E-006  0.152768E+007   834131.        6.59356        8.66749        4.87215        1511.45      -0.112759E+008   1129.23        2.82333     
  75001.4        720.000        3549.74       0.236097E-004  0.639215E-006  0.159675E+007   857385.        6.70687        8.78560        4.91462        1500.25      -0.108592E+008   1126.68        2.79485     
  90001.5        720.000        3583.91       0.225056E-004  0.612303E-006  0.166472E+007   879081.        6.81541        8.89688        4.95263        1490.42      -0.104458E+008   1124.30        2.76820     
  105002.        720.000        3636.17       0.214339E-004  0.576732E-006  0.177030E+007   923305.        6.97752        9.08527        5.03907        1474.07      -0.100418E+008   1121.58        2.72842     
  120002.        720.000        3791.32       0.206894E-004  0.490862E-006  0.208072E+007  0.110085E+007   7.40819        9.67450        5.38851        1442.01      -0.966223E+007   1116.94        2.61677     
  135002.        720.000        3918.65       0.181489E-004  0.434295E-006  0.234814E+007  0.126998E+007   7.74095        10.1555        5.69286        1404.32      -0.930065E+007   1107.26        2.53174     
  150002.        720.000        3962.03       0.174897E-004  0.415680E-006  0.244888E+007  0.132924E+007   7.86186        10.3219        5.79219        1388.66      -0.893208E+007   1104.38        2.50402     
  165002.        720.000        3989.89       0.169428E-004  0.404843E-006  0.251227E+007  0.135168E+007   7.93511        10.3989        5.82044        1382.59      -0.855917E+007   1102.58        2.48654     
  180002.        720.000        4015.39       0.164287E-004  0.394990E-006  0.257303E+007  0.137087E+007   8.00494        10.4690        5.84297        1376.46      -0.818887E+007   1100.94        2.47074     
  195002.        720.000        4039.09       0.159424E-004  0.385842E-006  0.263226E+007  0.138783E+007   8.07278        10.5348        5.86173        1370.16      -0.782094E+007   1099.42        2.45625     
  210002.        720.000        4062.32       0.154850E-004  0.377154E-006  0.269123E+007  0.140420E+007   8.13933        10.5989        5.87933        1364.21      -0.745492E+007   1097.97        2.44220     
  225002.        720.000        4249.69       0.167239E-004  0.339049E-006  0.300992E+007  0.156574E+007   8.41587        10.9522        6.06989        1337.46      -0.710782E+007   1096.59        2.33452     
  240002.        720.000        4416.90       0.189896E-004  0.337662E-006  0.308381E+007  0.192329E+007   8.35574        11.3083        6.59878        1307.70      -0.678572E+007   1090.82        2.24615     
  255003.        720.000        4439.29       0.185663E-004  0.331179E-006  0.314009E+007  0.194969E+007   8.41035        11.3707        6.62715        1301.64      -0.645134E+007   1089.15        2.23482     
  270003.        720.000        4461.38       0.181636E-004  0.324985E-006  0.319600E+007  0.197585E+007   8.46387        11.4319        6.65492        1295.75      -0.611853E+007   1087.53        2.22375     
  285003.        720.000        4550.14       0.202227E-004  0.302985E-006  0.339108E+007  0.193930E+007   8.63290        11.4610        6.52845        1306.96      -0.577549E+007   1100.18        2.18037     
  300003.        720.000        4571.28       0.198754E-004  0.297769E-006  0.344827E+007  0.196059E+007   8.68524        11.5160        6.54899        1300.81      -0.545102E+007   1098.52        2.17029     
  315003.        720.000        4592.06       0.195405E-004  0.292750E-006  0.350524E+007  0.198173E+007   8.73686        11.5704        6.56929        1294.59      -0.512810E+007   1096.90        2.16047     
  330003.        720.000        4612.75       0.192210E-004  0.287943E-006  0.356164E+007  0.200248E+007   8.78709        11.6231        6.58877        1288.65      -0.480646E+007   1095.32        2.15078     
  345003.        720.000        4633.35       0.189166E-004  0.283332E-006  0.361751E+007  0.202280E+007   8.83602        11.6741        6.60737        1282.89      -0.448614E+007   1093.78        2.14121     
  360003.        720.000        4654.19       0.186321E-004  0.278935E-006  0.367239E+007  0.204216E+007   8.88285        11.7221        6.62403        1277.45      -0.416703E+007   1092.32        2.13163     
  375003.        720.000        4675.35       0.183679E-004  0.274745E-006  0.372624E+007  0.206062E+007   8.92747        11.7671        6.63884        1272.26      -0.384918E+007   1090.93        2.12198     
  390003.        720.000        4695.13       0.180912E-004  0.270608E-006  0.378130E+007  0.208076E+007   8.97422        11.8164        6.65713        1266.57      -0.353313E+007   1089.46        2.11304     
  405003.        720.000        4714.08       0.178121E-004  0.266563E-006  0.383696E+007  0.210191E+007   9.02184        11.8678        6.67742        1260.81      -0.321845E+007   1087.95        2.10454     
  420004.        720.000        4732.84       0.175425E-004  0.262650E-006  0.389245E+007  0.212289E+007   9.06882        11.9185        6.69736        1255.15      -0.290496E+007   1086.47        2.09621     
  435004.        720.000        4751.39       0.172819E-004  0.258863E-006  0.394778E+007  0.214372E+007   9.11520        11.9685        6.71697        1249.59      -0.259264E+007   1085.00        2.08802     
  450004.        720.000        4769.75       0.170298E-004  0.255195E-006  0.400295E+007  0.216439E+007   9.16099        12.0178        6.73628        1244.13      -0.228148E+007   1083.56        2.07998     
  465004.        720.000        4787.93       0.167858E-004  0.251639E-006  0.405797E+007  0.218491E+007   9.20620        12.0664        6.75527        1238.76      -0.197146E+007   1082.14        2.07209     
  480004.        720.000        4805.92       0.165495E-004  0.248192E-006  0.411283E+007  0.220527E+007   9.25086        12.1145        6.77397        1233.48      -0.166256E+007   1080.74        2.06433     
  495004.        720.000        4823.73       0.163205E-004  0.244848E-006  0.416755E+007  0.222550E+007   9.29498        12.1619        6.79239        1228.30      -0.135476E+007   1079.36        2.05671     
  510004.        720.000        4841.37       0.160984E-004  0.241602E-006  0.422212E+007  0.224558E+007   9.33858        12.2087        6.81052        1223.19      -0.104804E+007   1078.00        2.04921     
  525004.        720.000        4858.85       0.158830E-004  0.238449E-006  0.427655E+007  0.226554E+007   9.38167        12.2550        6.82841        1218.17       -742381.        1076.66        2.04184     
  540004.        720.000        4876.16       0.156738E-004  0.235387E-006  0.433083E+007  0.228537E+007   9.42425        12.3007        6.84604        1213.21       -437783.        1075.33        2.03459     
  555004.        720.000        4893.31       0.154708E-004  0.232410E-006  0.438498E+007  0.230516E+007   9.46635        12.3460        6.86355        1208.39       -134170.        1074.02        2.02746     
  570004.        720.000        4910.31       0.152735E-004  0.229514E-006  0.443901E+007  0.232464E+007   9.50799        12.3905        6.88056        1203.54        168342.        1072.72        2.02044     
  585005.        720.000        4927.15       0.150817E-004  0.226697E-006  0.449292E+007  0.234404E+007   9.54918        12.4346        6.89739        1198.82        469903.        1071.44        2.01354     
  600005.        720.000        4943.85       0.148952E-004  0.223955E-006  0.454669E+007  0.236337E+007   9.58992        12.4782        6.91405        1194.16        770473.        1070.18        2.00674     
  615005.        720.000        4960.41       0.147138E-004  0.221285E-006  0.460033E+007  0.238256E+007   9.63021        12.5213        6.93048        1189.57       0.107007E+007   1068.93        2.00004     
  630005.        720.000        4976.82       0.145372E-004  0.218684E-006  0.465386E+007  0.240164E+007   9.67009        12.5639        6.94669        1185.04       0.136870E+007   1067.70        1.99344     
  645005.        720.000        4993.10       0.143653E-004  0.216150E-006  0.470726E+007  0.242062E+007   9.70954        12.6061        6.96271        1180.57       0.166639E+007   1066.48        1.98694     
  660005.        720.000        5009.25       0.141978E-004  0.213679E-006  0.476055E+007  0.243947E+007   9.74860        12.6478        6.97849        1176.16       0.196314E+007   1065.27        1.98054     
  675005.        720.000        5025.27       0.140346E-004  0.211270E-006  0.481372E+007  0.245823E+007   9.78726        12.6891        6.99410        1171.81       0.225898E+007   1064.07        1.97422     
  690005.        720.000        5041.15       0.138755E-004  0.208920E-006  0.486678E+007  0.247688E+007   9.82553        12.7300        7.00951        1167.51       0.255391E+007   1062.89        1.96800     
  705005.        720.000        5056.92       0.137203E-004  0.206627E-006  0.491973E+007  0.249542E+007   9.86343        12.7704        7.02471        1163.27       0.284794E+007   1061.72        1.96187     
  720005.        720.000        5072.56       0.135690E-004  0.204388E-006  0.497257E+007  0.251385E+007   9.90095        12.8104        7.03974        1159.08       0.314109E+007   1060.56        1.95582     
  735005.        720.000        5088.09       0.134213E-004  0.202202E-006  0.502531E+007  0.253220E+007   9.93812        12.8500        7.05459        1154.94       0.343337E+007   1059.41        1.94985     
  750006.        720.000        5103.49       0.132771E-004  0.200066E-006  0.507794E+007  0.255044E+007   9.97493        12.8892        7.06926        1150.85       0.372479E+007   1058.27        1.94396     
  765006.        720.000        5118.79       0.131363E-004  0.197980E-006  0.513047E+007  0.256858E+007   10.0114        12.9280        7.08375        1146.80       0.401536E+007   1057.14        1.93815     
  780006.        720.000        5133.97       0.129988E-004  0.195941E-006  0.518290E+007  0.258662E+007   10.0475        12.9665        7.09806        1142.81       0.430508E+007   1056.03        1.93242     
  795006.        720.000        5149.05       0.128644E-004  0.193947E-006  0.523522E+007  0.260457E+007   10.0833        13.0046        7.11221        1138.86       0.459398E+007   1054.92        1.92676     
  810006.        720.000        5164.01       0.127331E-004  0.191997E-006  0.528746E+007  0.262243E+007   10.1188        13.0423        7.12621        1134.96       0.488207E+007   1053.82        1.92118     
  825006.        720.000        5178.88       0.126047E-004  0.190089E-006  0.533960E+007  0.264020E+007   10.1540        13.0796        7.14003        1131.10       0.516935E+007   1052.73        1.91567     
  840006.        720.000        5193.63       0.124792E-004  0.188223E-006  0.539164E+007  0.265786E+007   10.1888        13.1166        7.15370        1127.27       0.545582E+007   1051.66        1.91022     
  855006.        720.000        5208.29       0.123564E-004  0.186396E-006  0.544360E+007  0.267544E+007   10.2234        13.1533        7.16721        1123.49       0.574151E+007   1050.59        1.90485     
  870006.        720.000        5222.85       0.122362E-004  0.184608E-006  0.549546E+007  0.269293E+007   10.2577        13.1896        7.18056        1119.75       0.602642E+007   1049.53        1.89954     
  885006.        720.000        5237.32       0.121186E-004  0.182856E-006  0.554724E+007  0.271034E+007   10.2916        13.2257        7.19378        1116.06       0.631056E+007   1048.48        1.89429     
  900006.        720.000        5251.69       0.120034E-004  0.181141E-006  0.559893E+007  0.272764E+007   10.3253        13.2613        7.20683        1112.40       0.659394E+007   1047.44        1.88911     
  915006.        720.000        5265.96       0.118907E-004  0.179460E-006  0.565054E+007  0.274485E+007   10.3587        13.2967        7.21973        1108.77       0.687657E+007   1046.40        1.88399     
  930007.        720.000        5280.14       0.117803E-004  0.177812E-006  0.570207E+007  0.276198E+007   10.3919        13.3318        7.23248        1105.18       0.715845E+007   1045.38        1.87893     
  945007.        720.000        5294.24       0.116721E-004  0.176198E-006  0.575352E+007  0.277903E+007   10.4247        13.3665        7.24511        1101.63       0.743960E+007   1044.36        1.87392     
  960007.        720.000        5308.24       0.115660E-004  0.174615E-006  0.580488E+007  0.279597E+007   10.4573        13.4010        7.25757        1098.11       0.772002E+007   1043.35        1.86898     
  975007.        720.000        5325.96       0.115959E-004  0.173514E-006  0.584188E+007  0.281852E+007   10.4731        13.4256        7.27464        1093.25       0.799872E+007   1042.17        1.86276     
  990007.        720.000        5367.40       0.124376E-004  0.175177E-006  0.579097E+007  0.287807E+007   10.3871        13.3935        7.32265        1078.62       0.826854E+007   1039.84        1.84838     
 0.100501E+007   720.000        5399.69       0.129470E-004  0.175609E-006  0.577703E+007  0.292566E+007   10.3435        13.3877        7.36084        1070.48       0.854123E+007   1038.06        1.83733     
 0.102001E+007   720.000        5425.92       0.132377E-004  0.175305E-006  0.578602E+007  0.296546E+007   10.3265        13.3981        7.39280        1064.55       0.881396E+007   1036.53        1.82844     
 0.103501E+007   720.000        5440.36       0.131180E-004  0.173809E-006  0.583497E+007  0.298579E+007   10.3563        13.4324        7.40826        1060.76       0.908732E+007   1035.29        1.82359     
 0.105001E+007   720.000        5454.73       0.130007E-004  0.172343E-006  0.588379E+007  0.300567E+007   10.3859        13.4661        7.42308        1057.12       0.936006E+007   1034.06        1.81879     
 0.106501E+007   720.000        5469.00       0.128854E-004  0.170903E-006  0.593258E+007  0.302599E+007   10.4152        13.5000        7.43840        1053.31       0.963194E+007   1032.83        1.81404     
 0.108001E+007   720.000        5483.23       0.127725E-004  0.169493E-006  0.598116E+007  0.304568E+007   10.4442        13.5330        7.45288        1049.70       0.990326E+007   1031.62        1.80933     
 0.109501E+007   720.000        5497.39       0.126618E-004  0.168109E-006  0.602963E+007  0.306534E+007   10.4729        13.5657        7.46726        1046.07       0.101739E+008   1030.41        1.80468     
 0.111001E+007   720.000        5511.49       0.125531E-004  0.166752E-006  0.607794E+007  0.308479E+007   10.5013        13.5980        7.48132        1042.47       0.104438E+008   1029.21        1.80006     
 0.112501E+007   720.000        5525.52       0.124464E-004  0.165420E-006  0.612616E+007  0.310433E+007   10.5295        13.6301        7.49544        1038.81       0.107130E+008   1028.02        1.79549     
 0.114001E+007   720.000        5539.50       0.123418E-004  0.164112E-006  0.617425E+007  0.312301E+007   10.5574        13.6612        7.50847        1035.43       0.109817E+008   1026.84        1.79096     
 0.115501E+007   720.000        5553.41       0.122391E-004  0.162830E-006  0.622219E+007  0.314193E+007   10.5850        13.6923        7.52173        1031.91       0.112496E+008   1025.66        1.78647     
 0.117001E+007   720.000        5567.23       0.121380E-004  0.161566E-006  0.627019E+007  0.316107E+007   10.6126        13.7235        7.53524        1028.32       0.115167E+008   1024.49        1.78203     
 0.118501E+007   720.000        5581.02       0.120389E-004  0.160328E-006  0.631793E+007  0.317972E+007   10.6397        13.7539        7.54810        1024.82       0.117833E+008   1023.33        1.77763     
 0.120001E+007   720.000        5594.83       0.119418E-004  0.159121E-006  0.636524E+007  0.319825E+007   10.6663        13.7837        7.56071        1021.20       0.120491E+008   1022.17        1.77324     
 0.121501E+007   720.000        5608.51       0.118462E-004  0.157927E-006  0.641273E+007  0.321654E+007   10.6930        13.8133        7.57305        1017.71       0.123144E+008   1021.02        1.76892     
 0.123001E+007   720.000        5622.13       0.117523E-004  0.156753E-006  0.646014E+007  0.323467E+007   10.7194        13.8426        7.58515        1014.24       0.125790E+008   1019.88        1.76463     
 0.124501E+007   720.000        5635.69       0.116599E-004  0.155599E-006  0.650746E+007  0.325262E+007   10.7456        13.8716        7.59701        1010.78       0.128430E+008   1018.74        1.76039     
 0.126001E+007   720.000        5649.18       0.115691E-004  0.154462E-006  0.655474E+007  0.327048E+007   10.7717        13.9004        7.60875        1007.33       0.131064E+008   1017.62        1.75618     
 0.127501E+007   720.000        5662.60       0.114797E-004  0.153343E-006  0.660198E+007  0.328823E+007   10.7976        13.9289        7.62031        1003.90       0.133691E+008   1016.50        1.75202     
 0.129001E+007   720.000        5675.95       0.113918E-004  0.152241E-006  0.664919E+007  0.330587E+007   10.8234        13.9572        7.63173        1000.49       0.136313E+008   1015.38        1.74790     
 0.130501E+007   720.000        5689.23       0.113053E-004  0.151155E-006  0.669640E+007  0.332340E+007   10.8491        13.9854        7.64302        997.100       0.138928E+008   1014.28        1.74382     
 0.132001E+007   720.000        5702.43       0.112202E-004  0.150084E-006  0.674360E+007  0.334085E+007   10.8747        14.0133        7.65418        993.743       0.141537E+008   1013.18        1.73979     
 0.133501E+007   720.000        5715.55       0.111363E-004  0.149028E-006  0.679080E+007  0.335823E+007   10.9001        14.0412        7.66525        990.409       0.144141E+008   1012.09        1.73579     
 0.135001E+007   720.000        5728.60       0.110537E-004  0.147987E-006  0.683800E+007  0.337555E+007   10.9255        14.0688        7.67623        987.104       0.146738E+008   1011.01        1.73184     
 0.136501E+007   720.000        5741.57       0.109724E-004  0.146960E-006  0.688522E+007  0.339281E+007   10.9507        14.0964        7.68713        983.839       0.149330E+008   1009.93        1.72792     
 0.138001E+007   720.000        5754.45       0.108922E-004  0.145945E-006  0.693250E+007  0.341003E+007   10.9760        14.1239        7.69798        980.626       0.151917E+008   1008.86        1.72406     
 0.139501E+007   720.000        5767.27       0.108132E-004  0.144945E-006  0.697976E+007  0.342719E+007   11.0011        14.1512        7.70875        977.440       0.154498E+008   1007.80        1.72023     
 0.141001E+007   720.000        5780.01       0.107354E-004  0.143958E-006  0.702704E+007  0.344431E+007   11.0261        14.1784        7.71946        974.292       0.157073E+008   1006.74        1.71643     
 0.142501E+007   720.000        5792.67       0.106587E-004  0.142984E-006  0.707434E+007  0.346138E+007   11.0510        14.2056        7.73011        971.185       0.159643E+008   1005.69        1.71268     
 0.144001E+007   720.000        5805.26       0.105831E-004  0.142022E-006  0.712166E+007  0.347843E+007   11.0759        14.2326        7.74071        968.130       0.162208E+008   1004.65        1.70897     
 0.145501E+007   720.000        5817.77       0.105085E-004  0.141072E-006  0.716903E+007  0.349545E+007   11.1007        14.2596        7.75128        965.131       0.164767E+008   1003.61        1.70529     
 0.147001E+007   720.000        5830.21       0.104350E-004  0.140135E-006  0.721638E+007  0.351242E+007   11.1254        14.2864        7.76178        962.159       0.167321E+008   1002.58        1.70165     
 0.148501E+007   720.000        5842.59       0.103626E-004  0.139210E-006  0.726373E+007  0.352936E+007   11.1501        14.3132        7.77222        959.230       0.169870E+008   1001.55        1.69805     
 0.150001E+007   720.000        5854.90       0.102911E-004  0.138297E-006  0.731109E+007  0.354625E+007   11.1746        14.3398        7.78261        956.341       0.172414E+008   1000.53        1.69448     
  1.00000        760.000        3206.74       0.300225E-004  0.960825E-006  0.108076E+007   623614.        5.80542        7.72219        4.40987        1635.79      -0.129423E+008   1148.94        3.09380     
  15001.1        760.000        3387.33       0.290392E-004  0.794639E-006  0.129672E+007   749699.        6.18720        8.23355        4.70451        1613.04      -0.125057E+008   1145.73        2.92886     
  30001.2        760.000        3427.43       0.270778E-004  0.749307E-006  0.137052E+007   772262.        6.32352        8.36835        4.74677        1599.59      -0.120757E+008   1142.28        2.89459     
  45001.3        760.000        3465.49       0.253848E-004  0.710277E-006  0.144200E+007   794162.        6.45059        8.49501        4.78710        1587.20      -0.116499E+008   1139.22        2.86280     
  60001.4        760.000        3510.07       0.251221E-004  0.672766E-006  0.152115E+007   827911.        6.58307        8.64788        4.85662        1574.11      -0.112295E+008   1138.07        2.82644     
  75001.4        760.000        3546.12       0.238970E-004  0.642468E-006  0.159036E+007   851077.        6.69687        8.76632        4.89901        1562.85      -0.108129E+008   1135.55        2.79771     
  90001.5        760.000        3580.36       0.227670E-004  0.615341E-006  0.165821E+007   872959.        6.80544        8.87824        4.93780        1551.98      -0.104002E+008   1133.20        2.77095     
  105002.        760.000        3630.85       0.217011E-004  0.580476E-006  0.176017E+007   915217.        6.96262        9.06019        5.02062        1536.17      -0.999588E+007   1130.66        2.73242     
  120002.        760.000        3792.62       0.207813E-004  0.490943E-006  0.208273E+007  0.110097E+007   7.41048        9.67580        5.38788        1501.38      -0.961824E+007   1126.07        2.61587     
  135002.        760.000        3913.93       0.183839E-004  0.436616E-006  0.233784E+007  0.126035E+007   7.72860        10.1325        5.67465        1465.12      -0.925565E+007   1117.42        2.53480     
  150002.        760.000        3955.85       0.177271E-004  0.418657E-006  0.243393E+007  0.131474E+007   7.84394        10.2879        5.76501        1451.33      -0.888545E+007   1114.81        2.50793     
  165002.        760.000        3987.66       0.171597E-004  0.406194E-006  0.250593E+007  0.134634E+007   7.92731        10.3855        5.81057        1442.71      -0.851469E+007   1112.84        2.48793     
  180002.        760.000        4012.69       0.166369E-004  0.396343E-006  0.256624E+007  0.136479E+007   7.99707        10.4548        5.83196        1436.38      -0.814454E+007   1111.28        2.47241     
  195002.        760.000        4036.38       0.161446E-004  0.387117E-006  0.262559E+007  0.138147E+007   8.06524        10.5205        5.85024        1430.17      -0.777655E+007   1109.81        2.45789     
  210002.        760.000        4062.85       0.157771E-004  0.378033E-006  0.268719E+007  0.139909E+007   8.13267        10.5856        5.86823        1425.28      -0.740974E+007   1108.81        2.44188     
  225002.        760.000        4129.69       0.157625E-004  0.357399E-006  0.284129E+007  0.144644E+007   8.29466        10.7472        5.91823        1411.99      -0.705294E+007   1108.49        2.40236     
  240002.        760.000        4413.67       0.192479E-004  0.338851E-006  0.307665E+007  0.191334E+007   8.34909        11.2919        6.58410        1367.31      -0.674162E+007   1103.02        2.24779     
  255003.        760.000        4436.12       0.188163E-004  0.332319E-006  0.313284E+007  0.194001E+007   8.40365        11.3548        6.61302        1361.11      -0.640733E+007   1101.41        2.23642     
  270003.        760.000        4458.26       0.184093E-004  0.326066E-006  0.318894E+007  0.196611E+007   8.45748        11.4162        6.64081        1355.13      -0.607459E+007   1099.84        2.22531     
  285003.        760.000        4546.63       0.204939E-004  0.303967E-006  0.338454E+007  0.193003E+007   8.62790        11.4473        6.51534        1367.93      -0.573038E+007   1112.40        2.18206     
  300003.        760.000        4567.79       0.201418E-004  0.298709E-006  0.344187E+007  0.195154E+007   8.68048        11.5029        6.53636        1361.55      -0.540607E+007   1110.80        2.17195     
  315003.        760.000        4588.75       0.198047E-004  0.293671E-006  0.349864E+007  0.197262E+007   8.73177        11.5569        6.55653        1355.41      -0.508310E+007   1109.25        2.16203     
  330003.        760.000        4609.57       0.194835E-004  0.288834E-006  0.355494E+007  0.199312E+007   8.78185        11.6092        6.57561        1349.51      -0.476142E+007   1107.76        2.15226     
  345003.        760.000        4630.18       0.191750E-004  0.284186E-006  0.361092E+007  0.201355E+007   8.83100        11.6606        6.59450        1343.62      -0.444120E+007   1106.29        2.14268     
  360003.        760.000        4650.90       0.188840E-004  0.279740E-006  0.366614E+007  0.203330E+007   8.87843        11.7097        6.61200        1337.90      -0.412231E+007   1104.87        2.13314     
  375003.        760.000        4672.10       0.186177E-004  0.275518E-006  0.372004E+007  0.205161E+007   8.92314        11.7546        6.62660        1332.69      -0.380447E+007   1103.56        2.12345     
  390003.        760.000        4691.68       0.183326E-004  0.271337E-006  0.377546E+007  0.207239E+007   8.97058        11.8054        6.64616        1326.86      -0.348853E+007   1102.13        2.11459     
  405003.        760.000        4710.68       0.180505E-004  0.267269E-006  0.383117E+007  0.209379E+007   9.01829        11.8572        6.66691        1321.07      -0.317386E+007   1100.68        2.10607     
  420004.        760.000        4729.47       0.177783E-004  0.263327E-006  0.388672E+007  0.211458E+007   9.06537        11.9078        6.68661        1315.27      -0.286047E+007   1099.28        2.09770     
  435004.        760.000        4748.05       0.175150E-004  0.259516E-006  0.394211E+007  0.213546E+007   9.11185        11.9580        6.70637        1309.63      -0.254822E+007   1097.89        2.08949     
  450004.        760.000        4766.45       0.172603E-004  0.255824E-006  0.399734E+007  0.215616E+007   9.15773        12.0075        6.72578        1304.09      -0.223712E+007   1096.52        2.08142     
  465004.        760.000        4784.65       0.170137E-004  0.252247E-006  0.405241E+007  0.217671E+007   9.20304        12.0563        6.74489        1298.65      -0.192715E+007   1095.17        2.07351     
  480004.        760.000        4802.67       0.167750E-004  0.248779E-006  0.410733E+007  0.219711E+007   9.24779        12.1045        6.76370        1293.30      -0.161831E+007   1093.84        2.06572     
  495004.        760.000        4820.52       0.165437E-004  0.245416E-006  0.416209E+007  0.221738E+007   9.29200        12.1521        6.78224        1288.03      -0.131056E+007   1092.53        2.05808     
  510004.        760.000        4838.19       0.163194E-004  0.242151E-006  0.421672E+007  0.223750E+007   9.33568        12.1991        6.80048        1282.85      -0.100390E+007   1091.24        2.05056     
  525004.        760.000        4855.69       0.161018E-004  0.238980E-006  0.427120E+007  0.225748E+007   9.37885        12.2455        6.81846        1277.75       -698295.        1089.97        2.04317     
  540004.        760.000        4873.03       0.158906E-004  0.235902E-006  0.432553E+007  0.227742E+007   9.42150        12.2914        6.83631        1272.75       -393731.        1088.71        2.03590     
  555004.        760.000        4890.20       0.156856E-004  0.232911E-006  0.437972E+007  0.229724E+007   9.46367        12.3368        6.85393        1267.85       -90177.5        1087.47        2.02875     
  570004.        760.000        4907.22       0.154865E-004  0.229996E-006  0.443383E+007  0.231662E+007   9.50542        12.3813        6.87084        1262.93        212287.        1086.25        2.02171     
  585005.        760.000        4924.10       0.152929E-004  0.227168E-006  0.448773E+007  0.233633E+007   9.54663        12.4258        6.88817        1258.20        513839.        1085.04        2.01478     
  600005.        760.000        4940.82       0.151046E-004  0.224412E-006  0.454154E+007  0.235569E+007   9.58742        12.4695        6.90494        1253.48        814361.        1083.84        2.00797     
  615005.        760.000        4957.39       0.149214E-004  0.221725E-006  0.459528E+007  0.237464E+007   9.62785        12.5125        6.92106        1248.74       0.111385E+007   1082.67        2.00125     
  630005.        760.000        4973.83       0.147432E-004  0.219111E-006  0.464885E+007  0.239374E+007   9.66779        12.5553        6.93734        1244.15       0.141244E+007   1081.51        1.99464     
  645005.        760.000        4990.13       0.145695E-004  0.216567E-006  0.470229E+007  0.241276E+007   9.70730        12.5976        6.95346        1239.62       0.171008E+007   1080.35        1.98812     
  660005.        760.000        5006.30       0.144006E-004  0.214083E-006  0.475563E+007  0.243160E+007   9.74644        12.6394        6.96928        1235.14       0.200678E+007   1079.22        1.98170     
  675005.        760.000        5022.33       0.142358E-004  0.211662E-006  0.480885E+007  0.245036E+007   9.78516        12.6808        6.98493        1230.73       0.230257E+007   1078.09        1.97538     
  690005.        760.000        5038.24       0.140753E-004  0.209301E-006  0.486196E+007  0.246902E+007   9.82349        12.7217        7.00041        1226.37       0.259746E+007   1076.98        1.96914     
  705005.        760.000        5054.02       0.139187E-004  0.206997E-006  0.491495E+007  0.248757E+007   9.86145        12.7622        7.01567        1222.06       0.289145E+007   1075.87        1.96299     
  720005.        760.000        5069.69       0.137660E-004  0.204749E-006  0.496783E+007  0.250602E+007   9.89904        12.8023        7.03075        1217.82       0.318455E+007   1074.78        1.95693     
  735005.        760.000        5085.23       0.136169E-004  0.202553E-006  0.502061E+007  0.252436E+007   9.93626        12.8420        7.04564        1213.62       0.347679E+007   1073.70        1.95095     
  750006.        760.000        5100.65       0.134715E-004  0.200408E-006  0.507328E+007  0.254261E+007   9.97313        12.8813        7.06037        1209.47       0.376816E+007   1072.63        1.94505     
  765006.        760.000        5115.96       0.133294E-004  0.198313E-006  0.512585E+007  0.256076E+007   10.0097        12.9202        7.07491        1205.37       0.405868E+007   1071.57        1.93922     
