|6.6.6
pyrolite_1.tab                                                                                      
           2
P(bar)  
   1.0000000000000000     
   15000.090000000000     
         101
T(K)    
   200.00000000000000     
   40.000000000000000     
         101
          14
P(bar)         T(K)           rho,kg/m3      alpha,1/K      beta,1/bar     Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        s,J/K/kg       h,J/kg         cp,J/K/kg      V,J/bar/mol   
  525004.        200.000        4891.02       0.550113E-005  0.232365E-006  0.433243E+007  0.234988E+007   9.41166        12.3547        6.93143        205.537      -0.119261E+007   378.733        2.02841     
  540004.        200.000        4908.04       0.539351E-005  0.229500E-006  0.438601E+007  0.236996E+007   9.45324        12.3995        6.94891        203.821       -886796.        375.751        2.02138     
  555004.        200.000        4924.93       0.528948E-005  0.226712E-006  0.443942E+007  0.239012E+007   9.49430        12.4439        6.96642        202.114       -582040.        372.822        2.01444     
  570004.        200.000        4941.66       0.518872E-005  0.223995E-006  0.449278E+007  0.240989E+007   9.53501        12.4876        6.98333        200.443       -278316.        369.947        2.00763     
  585005.        200.000        4958.27       0.509130E-005  0.221353E-006  0.454592E+007  0.242995E+007   9.57516        12.5311        7.00058        198.756        24380.6        367.120        2.00090     
  600005.        200.000        4974.74       0.499695E-005  0.218779E-006  0.459894E+007  0.244993E+007   9.61487        12.5741        7.01765        197.075        326069.        364.347        1.99428     
  615005.        200.000        4991.07       0.490550E-005  0.216268E-006  0.465187E+007  0.246969E+007   9.65422        12.6167        7.03436        195.414        626768.        361.619        1.98775     
  630005.        200.000        5007.28       0.481688E-005  0.213820E-006  0.470467E+007  0.248948E+007   9.69312        12.6588        7.05104        193.744        926485.        358.936        1.98131     
  645005.        200.000        5023.36       0.473093E-005  0.211433E-006  0.475735E+007  0.250918E+007   9.73162        12.7006        7.06755        192.076       0.122524E+007   356.301        1.97497     
  660005.        200.000        5039.32       0.464755E-005  0.209103E-006  0.480993E+007  0.252879E+007   9.76974        12.7419        7.08386        190.409       0.152304E+007   353.709        1.96872     
  675005.        200.000        5055.15       0.456662E-005  0.206828E-006  0.486241E+007  0.254825E+007   9.80751        12.7828        7.09992        188.750       0.181990E+007   351.161        1.96255     
  690005.        200.000        5070.87       0.448802E-005  0.204606E-006  0.491481E+007  0.256756E+007   9.84492        12.8232        7.11573        187.100       0.211584E+007   348.648        1.95647     
  705005.        200.000        5086.46       0.441166E-005  0.202434E-006  0.496712E+007  0.258672E+007   9.88199        12.8631        7.13128        185.462       0.241086E+007   346.182        1.95047     
  720005.        200.000        5101.93       0.433745E-005  0.200312E-006  0.501935E+007  0.260570E+007   9.91875        12.9027        7.14653        183.840       0.270499E+007   343.751        1.94456     
  735005.        200.000        5117.28       0.426529E-005  0.198236E-006  0.507153E+007  0.262446E+007   9.95520        12.9417        7.16144        182.249       0.299824E+007   341.358        1.93873     
  750006.        200.000        5132.51       0.419511E-005  0.196206E-006  0.512364E+007  0.264302E+007   9.99135        12.9803        7.17604        180.686       0.329062E+007   339.004        1.93297     
  765006.        200.000        5147.63       0.412682E-005  0.194219E-006  0.517569E+007  0.266136E+007   10.0272        13.0184        7.19032        179.156       0.358214E+007   336.686        1.92729     
  780006.        200.000        5162.64       0.406035E-005  0.192274E-006  0.522768E+007  0.267949E+007   10.0628        13.0561        7.20428        177.663       0.387281E+007   334.401        1.92169     
  795006.        200.000        5177.53       0.399563E-005  0.190370E-006  0.527961E+007  0.269741E+007   10.0981        13.0934        7.21792        176.212       0.416265E+007   332.152        1.91616     
  810006.        200.000        5192.31       0.393261E-005  0.188506E-006  0.533150E+007  0.271511E+007   10.1331        13.1302        7.23124        174.806       0.445168E+007   329.934        1.91071     
  825006.        200.000        5206.99       0.387121E-005  0.186679E-006  0.538333E+007  0.273260E+007   10.1679        13.1666        7.24427        173.444       0.473988E+007   327.748        1.90532     
  840006.        200.000        5221.56       0.381139E-005  0.184890E-006  0.543510E+007  0.274991E+007   10.2024        13.2026        7.25703        172.125       0.502729E+007   325.598        1.90001     
  855006.        200.000        5236.02       0.375308E-005  0.183137E-006  0.548682E+007  0.276703E+007   10.2367        13.2382        7.26953        170.851       0.531391E+007   323.473        1.89476     
  870006.        200.000        5250.39       0.369623E-005  0.181419E-006  0.553847E+007  0.278399E+007   10.2707        13.2735        7.28179        169.614       0.559975E+007   321.385        1.88958     
  885006.        200.000        5264.65       0.364079E-005  0.179734E-006  0.559008E+007  0.280076E+007   10.3044        13.3084        7.29379        168.433       0.588482E+007   319.321        1.88446     
  900006.        200.000        5278.82       0.358672E-005  0.178082E-006  0.564162E+007  0.281742E+007   10.3379        13.3430        7.30562        167.269       0.616913E+007   317.288        1.87940     
  915006.        200.000        5303.84       0.361065E-005  0.177678E-006  0.565366E+007  0.284501E+007   10.3245        13.3460        7.32398        163.601       0.645214E+007   312.893        1.87053     
  930007.        200.000        5324.75       0.360290E-005  0.176817E-006  0.568048E+007  0.286922E+007   10.3286        13.3614        7.34061        160.858       0.673368E+007   309.369        1.86319     
  945007.        200.000        5365.82       0.372374E-005  0.178106E-006  0.563640E+007  0.291795E+007   10.2490        13.3248        7.37430        150.279       0.701068E+007   301.403        1.84892     
  960007.        200.000        5384.95       0.369657E-005  0.177031E-006  0.566976E+007  0.294326E+007   10.2610        13.3478        7.39304        146.243       0.728867E+007   298.220        1.84236     
  975007.        200.000        5403.34       0.366456E-005  0.175898E-006  0.570552E+007  0.296855E+007   10.2758        13.3733        7.41210        141.382       0.756562E+007   295.208        1.83609     
  990007.        200.000        5418.47       0.361386E-005  0.174461E-006  0.575216E+007  0.298937E+007   10.3033        13.4059        7.42765        139.157       0.784239E+007   292.924        1.83096     
 0.100501E+007   200.000        5433.15       0.356212E-005  0.173013E-006  0.580001E+007  0.300959E+007   10.3321        13.4391        7.44266        137.322       0.811847E+007   290.748        1.82601     
 0.102001E+007   200.000        5447.55       0.351044E-005  0.171571E-006  0.584845E+007  0.302945E+007   10.3614        13.4725        7.45729        135.756       0.839388E+007   288.636        1.82118     
 0.103501E+007   200.000        5461.84       0.345973E-005  0.170152E-006  0.589695E+007  0.304921E+007   10.3907        13.5057        7.47178        134.213       0.866856E+007   286.573        1.81642     
 0.105001E+007   200.000        5475.94       0.340960E-005  0.168748E-006  0.594577E+007  0.306870E+007   10.4202        13.5388        7.48596        132.895       0.894258E+007   284.556        1.81174     
 0.106501E+007   200.000        5495.14       0.347888E-005  0.167331E-006  0.599125E+007  0.310003E+007   10.4417        13.5738        7.51093        137.514       0.921690E+007   289.692        1.80541     
 0.108001E+007   200.000        5508.90       0.342820E-005  0.165955E-006  0.604077E+007  0.311974E+007   10.4716        13.6074        7.52535        136.622       0.948935E+007   287.758        1.80090     
 0.109501E+007   200.000        5522.59       0.337866E-005  0.164604E-006  0.609020E+007  0.313937E+007   10.5013        13.6408        7.53962        135.770       0.976113E+007   285.834        1.79644     
 0.111001E+007   200.000        5536.19       0.333033E-005  0.163274E-006  0.613965E+007  0.315898E+007   10.5309        13.6741        7.55384        134.860       0.100322E+008   283.949        1.79203     
 0.112501E+007   200.000        5549.74       0.328298E-005  0.161970E-006  0.618892E+007  0.317843E+007   10.5602        13.7069        7.56781        134.077       0.103027E+008   282.070        1.78765     
 0.114001E+007   200.000        5563.23       0.323662E-005  0.160691E-006  0.623804E+007  0.319777E+007   10.5891        13.7394        7.58158        133.365       0.105725E+008   280.200        1.78332     
 0.115501E+007   200.000        5576.68       0.319116E-005  0.159437E-006  0.628696E+007  0.321693E+007   10.6177        13.7714        7.59509        132.751       0.108417E+008   278.326        1.77901     
 0.117001E+007   200.000        5590.11       0.314649E-005  0.158210E-006  0.633558E+007  0.323585E+007   10.6459        13.8028        7.60824        132.273       0.111102E+008   276.451        1.77474     
 0.118501E+007   200.000        5603.34       0.310334E-005  0.156988E-006  0.638474E+007  0.325512E+007   10.6745        13.8348        7.62184        131.436       0.113781E+008   274.705        1.77055     
 0.120001E+007   200.000        5616.72       0.306025E-005  0.155812E-006  0.643285E+007  0.327359E+007   10.7019        13.8651        7.63433        131.162       0.116454E+008   272.802        1.76633     
 0.121501E+007   200.000        5630.17       0.301753E-005  0.154670E-006  0.648024E+007  0.329148E+007   10.7284        13.8941        7.64601        131.152       0.119121E+008   270.819        1.76211     
 0.123001E+007   200.000        5643.81       0.297477E-005  0.153574E-006  0.652645E+007  0.330843E+007   10.7536        13.9212        7.65641        131.498       0.121783E+008   268.698        1.75786     
 0.124501E+007   200.000        5657.78       0.293137E-005  0.152538E-006  0.657075E+007  0.332385E+007   10.7767        13.9452        7.66475        132.301       0.124440E+008   266.298        1.75352     
 0.126001E+007   200.000        5670.69       0.289268E-005  0.151411E-006  0.661955E+007  0.334260E+007   10.8043        13.9759        7.67758        131.529       0.127086E+008   264.651        1.74952     
 0.127501E+007   200.000        5685.22       0.284855E-005  0.150478E-006  0.666065E+007  0.335535E+007   10.8239        13.9946        7.68237        132.878       0.129731E+008   261.837        1.74505     
 0.129001E+007   200.000        5700.76       0.280143E-005  0.149669E-006  0.669683E+007  0.336420E+007   10.8385        14.0056        7.68200        134.738       0.132369E+008   258.296        1.74029     
 0.130501E+007   200.000        5716.62       0.275400E-005  0.148905E-006  0.673134E+007  0.337166E+007   10.8513        14.0139        7.67984        136.143       0.135000E+008   254.551        1.73547     
 0.132001E+007   200.000        5730.25       0.271533E-005  0.147931E-006  0.677559E+007  0.338639E+007   10.8739        14.0370        7.68743        135.904       0.137620E+008   252.361        1.73134     
 0.133501E+007   200.000        5742.94       0.268056E-005  0.146884E-006  0.682376E+007  0.340406E+007   10.9005        14.0660        7.69894        135.178       0.140233E+008   250.795        1.72751     
 0.135001E+007   200.000        5755.57       0.264650E-005  0.145852E-006  0.687190E+007  0.342167E+007   10.9268        14.0947        7.71036        134.466       0.142841E+008   249.257        1.72372     
 0.136501E+007   200.000        5768.13       0.261312E-005  0.144835E-006  0.692000E+007  0.343922E+007   10.9531        14.1233        7.72169        133.772       0.145443E+008   247.732        1.71997     
 0.138001E+007   200.000        5780.64       0.258041E-005  0.143833E-006  0.696805E+007  0.345672E+007   10.9791        14.1518        7.73294        133.090       0.148039E+008   246.229        1.71625     
 0.139501E+007   200.000        5793.08       0.254835E-005  0.142846E-006  0.701606E+007  0.347417E+007   11.0050        14.1800        7.74409        132.420       0.150630E+008   244.745        1.71256     
 0.141001E+007   200.000        5805.46       0.251692E-005  0.141873E-006  0.706403E+007  0.349155E+007   11.0308        14.2081        7.75516        131.762       0.153215E+008   243.281        1.70891     
 0.142501E+007   200.000        5817.79       0.248610E-005  0.140915E-006  0.711195E+007  0.350888E+007   11.0564        14.2359        7.76614        131.114       0.155795E+008   241.834        1.70529     
 0.144001E+007   200.000        5830.06       0.245587E-005  0.139970E-006  0.715983E+007  0.352616E+007   11.0819        14.2637        7.77704        130.476       0.158369E+008   240.402        1.70170     
 0.145501E+007   200.000        5842.27       0.242622E-005  0.139038E-006  0.720767E+007  0.354338E+007   11.1072        14.2912        7.78785        129.847       0.160938E+008   238.991        1.69814     
 0.147001E+007   200.000        5854.43       0.239714E-005  0.138120E-006  0.725546E+007  0.356054E+007   11.1324        14.3186        7.79858        129.228       0.163502E+008   237.601        1.69461     
 0.148501E+007   200.000        5866.53       0.236860E-005  0.137214E-006  0.730322E+007  0.357765E+007   11.1575        14.3458        7.80923        128.618       0.166060E+008   236.215        1.69112     
 0.150001E+007   200.000        5878.58       0.234061E-005  0.136321E-006  0.735093E+007  0.359470E+007   11.1824        14.3728        7.81979        128.016       0.168613E+008   234.859        1.68765     
  1.00000        240.000        3338.87       0.185246E-004  0.831333E-006  0.122625E+007   746298.        6.06023        8.15652        4.72777        480.734      -0.134825E+008   726.007        2.97136     
  15001.1        240.000        3436.41       0.169305E-004  0.733255E-006  0.138037E+007   831441.        6.33790        8.51053        4.91885        450.527      -0.130493E+008   718.513        2.88703     
  30001.2        240.000        3474.10       0.157942E-004  0.696120E-006  0.145210E+007   853126.        6.46513        8.63367        4.95548        442.999      -0.126170E+008   711.848        2.85570     
  45001.3        240.000        3520.21       0.154829E-004  0.660335E-006  0.152922E+007   886302.        6.59099        8.77560        5.01772        433.523      -0.121901E+008   703.883        2.81829     
  60001.4        240.000        3556.69       0.146008E-004  0.630342E-006  0.160164E+007   909130.        6.71058        8.89457        5.05580        426.231      -0.117679E+008   697.328        2.78939     
  75001.4        240.000        3594.58       0.138313E-004  0.601086E-006  0.167995E+007   936206.        6.83634        9.02563        5.10342        420.418      -0.113498E+008   690.476        2.75999     
  90001.5        240.000        3632.82       0.132510E-004  0.573125E-006  0.176111E+007   979216.        6.96259        9.18789        5.19179        412.082      -0.109367E+008   681.978        2.73094     
  105002.        240.000        3783.94       0.128752E-004  0.486266E-006  0.207224E+007  0.117509E+007   7.40027        9.80664        5.57267        394.093      -0.105327E+008   659.954        2.62187     
  120002.        240.000        3939.86       0.102235E-004  0.420541E-006  0.239837E+007  0.135749E+007   7.80222        10.3351        5.86987        385.385      -0.101491E+008   627.727        2.51811     
  135002.        240.000        3965.73       0.982944E-005  0.410016E-006  0.245860E+007  0.138059E+007   7.87377        10.4122        5.90025        378.507      -0.977124E+007   622.971        2.50168     
  150002.        240.000        3990.16       0.947281E-005  0.400056E-006  0.251880E+007  0.139797E+007   7.94514        10.4804        5.91907        375.581      -0.939484E+007   618.803        2.48637     
  165002.        240.000        4014.23       0.913670E-005  0.390540E-006  0.257929E+007  0.141580E+007   8.01584        10.5489        5.93882        371.326      -0.902105E+007   614.660        2.47146     
  180002.        240.000        4044.95       0.878147E-005  0.379505E-006  0.265479E+007  0.144831E+007   8.10137        10.6477        5.98376        368.563      -0.864943E+007   607.615        2.45269     
  195002.        240.000        4076.42       0.844305E-005  0.369048E-006  0.273046E+007  0.148315E+007   8.18425        10.7468        6.03189        363.978      -0.828132E+007   600.342        2.43375     
  210002.        240.000        4164.22       0.841708E-005  0.346369E-006  0.290504E+007  0.156674E+007   8.35237        10.9511        6.13382        345.763      -0.792111E+007   589.801        2.38244     
  225002.        240.000        4427.05       0.101247E-004  0.331529E-006  0.310005E+007  0.201351E+007   8.36811        11.4310        6.74403        323.404      -0.757689E+007   567.640        2.24100     
  240002.        240.000        4449.76       0.987654E-005  0.325316E-006  0.315702E+007  0.203638E+007   8.42307        11.4877        6.76489        320.296      -0.723967E+007   564.244        2.22956     
  255003.        240.000        4471.33       0.960527E-005  0.319412E-006  0.321265E+007  0.206273E+007   8.47643        11.5481        6.79208        317.021      -0.690417E+007   560.353        2.21880     
  270003.        240.000        4493.05       0.936554E-005  0.313744E-006  0.326832E+007  0.208718E+007   8.52887        11.6051        6.81567        313.672      -0.657033E+007   556.853        2.20808     
  285003.        240.000        4514.39       0.913282E-005  0.308314E-006  0.332349E+007  0.211194E+007   8.58021        11.6618        6.83977        310.410      -0.623806E+007   553.357        2.19764     
  300003.        240.000        4570.57       0.931672E-005  0.295845E-006  0.344307E+007  0.210323E+007   8.67936        11.6913        6.78357        312.480      -0.590660E+007   550.425        2.17062     
  315003.        240.000        4627.30       0.973256E-005  0.283000E-006  0.357169E+007  0.207230E+007   8.78564        11.7004        6.69210        319.263      -0.557805E+007   556.148        2.14402     
  330003.        240.000        4646.99       0.951558E-005  0.278556E-006  0.362771E+007  0.209312E+007   8.83548        11.7526        6.71137        316.265      -0.525529E+007   552.107        2.13493     
  345003.        240.000        4666.47       0.930775E-005  0.274263E-006  0.368354E+007  0.211370E+007   8.88462        11.8038        6.73019        313.393      -0.493387E+007   548.154        2.12602     
  360003.        240.000        4685.91       0.910987E-005  0.270122E-006  0.373910E+007  0.213393E+007   8.93277        11.8538        6.74827        310.261      -0.461385E+007   544.259        2.11720     
  375003.        240.000        4706.06       0.893022E-005  0.266220E-006  0.379257E+007  0.215233E+007   8.97714        11.8983        6.76278        308.851      -0.429466E+007   540.776        2.10813     
  390003.        240.000        4725.52       0.875034E-005  0.262414E-006  0.384650E+007  0.217139E+007   9.02211        11.9443        6.77867        306.716      -0.397700E+007   537.205        2.09945     
  405003.        240.000        4745.22       0.858326E-005  0.258752E-006  0.389977E+007  0.218962E+007   9.06549        11.9878        6.79291        304.718      -0.366062E+007   533.824        2.09074     
  420004.        240.000        4763.78       0.841094E-005  0.255128E-006  0.395437E+007  0.220936E+007   9.11094        12.0352        6.81017        302.033      -0.334577E+007   530.213        2.08259     
  435004.        240.000        4784.24       0.826666E-005  0.251801E-006  0.400517E+007  0.222570E+007   9.14964        12.0725        6.82066        300.739      -0.303190E+007   527.257        2.07368     
  450004.        240.000        4802.24       0.810420E-005  0.248377E-006  0.405970E+007  0.224607E+007   9.19443        12.1202        6.83896        298.177      -0.271957E+007   523.720        2.06591     
  465004.        240.000        4820.07       0.794735E-005  0.245053E-006  0.411409E+007  0.226626E+007   9.23870        12.1673        6.85692        295.693      -0.240839E+007   520.247        2.05827     
