# Density (g/cm^3) Volume (A^3/at) Stress (and err, GPa) Isentrope (and err, GPa) Isotherm (and err, GPa)
   34.6500     9.3490   481.7000    15.3000   472.2000    16.5000   464.2000    16.6000
   34.8500     9.2950   494.8000    15.7000   485.1000    17.0000   476.9000    17.1000
   35.0500     9.2420   508.1000    16.3000   498.0000    17.5000   489.7000    17.6000
   35.2500     9.1900   521.5000    16.7000   511.2000    18.0000   502.6000    18.1000
   35.4500     9.1380   535.0000    17.2000   524.4000    18.5000   515.7000    18.6000
   35.6500     9.0870   548.6000    17.9000   537.7000    19.3000   528.9000    19.4000
   35.8500     9.0360   562.5000    18.2000   551.3000    19.6000   542.3000    19.7000
   36.0500     8.9860   576.4000    18.8000   564.9000    20.2000   555.8000    20.3000
   36.2500     8.9360   590.6000    19.2000   578.8000    20.7000   569.5000    20.8000
   36.4500     8.8870   605.0000    19.8000   592.8000    21.3000   583.4000    21.4000
   36.6500     8.8390   619.6000    20.3000   607.1000    21.8000   597.5000    21.9000
   36.8500     8.7910   634.4000    20.7000   621.6000    22.3000   611.8000    22.4000
   37.0500     8.7430   649.4000    21.2000   636.3000    22.9000   626.3000    22.9000
   37.2500     8.6960   664.5000    21.7000   651.1000    23.4000   640.9000    23.5000
   37.4500     8.6500   679.9000    22.2000   666.1000    23.9000   655.8000    24.0000
   37.6500     8.6040   695.3000    22.7000   681.2000    24.4000   670.7000    24.5000
   37.8500     8.5580   710.9000    23.2000   696.5000    25.0000   685.8000    25.1000
   38.0500     8.5130   726.7000    23.8000   711.9000    25.6000   701.0000    25.7000
   38.2500     8.4690   742.6000    24.3000   727.4000    26.2000   716.3000    26.3000
   38.4500     8.4250   758.5000    24.5000   742.9000    26.4000   731.7000    26.5000
   38.6500     8.3810   774.1000    24.2000   758.2000    26.1000   746.8000    26.2000
   38.8500     8.3380   789.0000    23.6000   772.7000    25.5000   761.1000    25.6000
   39.0500     8.2950   804.7000    27.8000   788.1000    29.9000   776.3000    30.0000
