#this smaller prem file is used with {s,p}wave_{fast,slow}.txt
# radius	pressure rho	vp	vs	Qk	 Qmu
4870844  62.21 4859.96 12200.22 6688.55 100000    355 
4883636  61.60 4853.08 12183.19 6681.80 100000    355 
4896429  60.98 4846.18 12166.07 6675.01 100000    355 
4909221  60.36 4839.27 12148.88 6668.19 100000    355 
4922013  59.75 4832.35 12131.61 6661.34 100000    355 
4934805  59.14 4825.42 12114.25 6654.46 100000    355 
4947597  58.52 4818.47 12096.81 6647.54 100000    355 
4960390  57.91 4811.51 12079.29 6640.59 100000    355 
4973182  57.30 4804.53 12061.67 6633.61 100000    355 
4985974  56.69 4797.55 12043.97 6626.59 100000    355 
4998766  56.08 4790.54 12026.19 6619.54 100000    355 
5011558  55.47 4783.53 12008.31 6612.45 100000    355 
5024351  54.86 4776.50 11990.33 6605.32 100000    355 
5037143  54.26 4769.45 11972.27 6598.16 100000    355 
5049935  53.65 4762.40 11954.11 6590.97 100000    355 
5062727  53.05 4755.32 11935.85 6583.73 100000    355 
5075519  52.44 4748.24 11917.50 6576.46 100000    355 
5088312  51.84 4741.13 11899.05 6569.15 100000    355 
5101104  51.24 4734.02 11880.50 6561.80 100000    355 
5113896  50.63 4726.89 11861.85 6554.41 100000    355 
5126688  50.03 4719.74 11843.10 6546.99 100000    355 
5139481  49.43 4712.58 11824.24 6539.52 100000    355 
5152273  48.83 4705.40 11805.28 6532.01 100000    355 
5165065  48.23 4698.20 11786.22 6524.47 100000    355 
5177857  47.64 4690.99 11767.04 6516.88 100000    355 
5190649  47.04 4683.77 11747.76 6509.25 100000    355 
5203442  46.44 4676.53 11728.36 6501.57 100000    355 
5216234  45.85 4669.27 11708.86 6493.86 100000    355 
5229026  45.26 4661.99 11689.24 6486.10 100000    355 
5241818  44.66 4654.70 11669.51 6478.30 100000    355 
5254610  44.07 4647.39 11649.67 6470.45 100000    355 
5267403  43.48 4640.07 11629.70 6462.56 100000    355 
5280195  42.89 4632.73 11609.62 6454.63 100000    355 
5292987  42.30 4625.37 11589.43 6446.65 100000    355 
5305779  41.71 4617.99 11569.11 6438.62 100000    355 
5318571  41.12 4610.60 11548.67 6430.55 100000    355 
5331364  40.53 4603.19 11528.10 6422.43 100000    355 
5344156  39.95 4595.76 11507.41 6414.27 100000    355 
5356948  39.36 4588.31 11486.60 6406.06 100000    355 
5369740  38.78 4580.84 11465.66 6397.80 100000    355 
5382532  38.19 4573.36 11444.59 6389.49 100000    355 
5395325  37.61 4565.86 11423.40 6381.13 100000    355 
5408117  37.03 4558.34 11402.07 6372.72 100000    355 
5420909  36.45 4550.80 11380.61 6364.27 100000    355 
5433701  35.87 4543.24 11359.01 6355.76 100000    355 
5446494  35.29 4535.66 11337.29 6347.20 100000    355 
5459286  34.71 4528.07 11315.42 6338.59 100000    355 
5472078  34.13 4520.45 11293.42 6329.93 100000    355 
5484870  33.55 4512.82 11271.28 6321.22 100000    355 
5497662  32.98 4505.16 11249.00 6312.45 100000    355 
5510455  32.40 4497.49 11226.59 6303.64 100000    355 
5523247  31.83 4489.79 11204.02 6294.77 100000    355 
5536039  31.25 4482.08 11181.32 6285.84 100000    355 
5548831  30.68 4474.35 11158.47 6276.86 100000    355 
5561623  30.11 4466.59 11135.47 6267.83 100000    355 
5574416  29.54 4458.82 11112.33 6258.74 100000    355 
5587208  28.97 4451.02 11089.03 6249.59 100000    355 
5600000  28.40 4443.20 11065.59 6240.39 100000    355 
5600000  28.40 4443.20 11065.60 6240.54 100000    355 
5614429  27.76 4434.36 11020.74 6198.32 100000    355 
5628857  27.12 4425.49 10975.87 6156.11 100000    355 
5643286  26.48 4416.60 10930.99 6113.90 100000    355 
5657714  25.84 4407.68 10886.09 6071.70 100000    355 
5672143  25.21 4398.73 10841.18 6029.50 100000    355 
5686571  24.57 4389.75 10796.26 5987.31 100000    355 
