#Radius	 Grav acc
1.7732930000e+06	5.9592224423e+00
1.7861250000e+06	5.9984562896e+00
1.7989570000e+06	6.0376514574e+00
1.8117900000e+06	6.0768097452e+00
1.8246220000e+06	6.1159530926e+00
1.8374550000e+06	6.1550473135e+00
1.8502870000e+06	6.1941240761e+00
1.8631190000e+06	6.2331560376e+00
1.8759520000e+06	6.2721450708e+00
1.8887840000e+06	6.3111131179e+00
1.9016160000e+06	6.3500329654e+00
1.9144490000e+06	6.3889065471e+00
1.9272810000e+06	6.4277557738e+00
1.9401140000e+06	6.4665468874e+00
1.9529460000e+06	6.5053115588e+00
1.9657780000e+06	6.5440226676e+00
1.9786110000e+06	6.5826822872e+00
1.9914430000e+06	6.6213123984e+00
2.0042760000e+06	6.6598793467e+00
2.0171080000e+06	6.6984147240e+00
2.0299400000e+06	6.7368916478e+00
2.0427730000e+06	6.7753122036e+00
2.0556050000e+06	6.8136983743e+00
2.0684370000e+06	6.8520233802e+00
2.0812700000e+06	6.8902892329e+00
2.0941020000e+06	6.9285178556e+00
2.1069350000e+06	6.9666759587e+00
2.1197670000e+06	7.0047951077e+00
2.1325990000e+06	7.0428486385e+00
2.1454320000e+06	7.0808386585e+00
2.1582640000e+06	7.1187870681e+00
2.1710970000e+06	7.1566607087e+00
2.1839290000e+06	7.1944910239e+00
2.1967610000e+06	7.2322515120e+00
2.2095940000e+06	7.2699443112e+00
2.2224260000e+06	7.3075912358e+00
2.2352590000e+06	7.3451593071e+00
2.2480910000e+06	7.3826799408e+00
2.2609230000e+06	7.4201267379e+00
2.2737560000e+06	7.4575018062e+00
2.2865880000e+06	7.4948269701e+00
2.2994200000e+06	7.5320759778e+00
2.3122530000e+06	7.5692509446e+00
2.3250850000e+06	7.6063736128e+00
2.3379180000e+06	7.6434112836e+00
2.3507500000e+06	7.6803951138e+00
2.3635820000e+06	7.7172989515e+00
2.3764150000e+06	7.7541249760e+00
2.3892470000e+06	7.7908948716e+00
2.4020800000e+06	7.8275760076e+00
2.4149120000e+06	7.8641994870e+00
2.4277440000e+06	7.9007393093e+00
2.4405770000e+06	7.9371975506e+00
2.4534090000e+06	7.9735958336e+00
2.4662410000e+06	8.0099082499e+00
2.4790740000e+06	8.0461369282e+00
2.4919060000e+06	8.0823034496e+00
2.5047390000e+06	8.1183755144e+00
2.5175710000e+06	8.1543839284e+00
2.5304030000e+06	8.1903028828e+00
2.5432360000e+06	8.2261345014e+00
2.5560680000e+06	8.2619002923e+00
2.5689010000e+06	8.2975680779e+00
2.5817330000e+06	8.3331685356e+00
2.5945650000e+06	8.3686760100e+00
2.6073980000e+06	8.4040925629e+00
2.6202300000e+06	8.4394396239e+00
2.6330630000e+06	8.4746851930e+00
2.6458950000e+06	8.5098598115e+00
2.6587270000e+06	8.5449379791e+00
2.6715600000e+06	8.5799217445e+00
2.6843920000e+06	8.6148323993e+00
2.6972240000e+06	8.6496444849e+00
2.7100570000e+06	8.6843600407e+00
2.7228890000e+06	8.7190003058e+00
2.7357220000e+06	8.7535335707e+00
2.7485540000e+06	8.7879900899e+00
2.7613860000e+06	8.8223445647e+00
2.7742190000e+06	8.8565990689e+00
2.7870510000e+06	8.8907746963e+00
2.7998840000e+06	8.9248398693e+00
2.8127160000e+06	8.9588247420e+00
2.8255480000e+06	8.9927041765e+00
2.8383810000e+06	9.0264801190e+00
2.8512130000e+06	9.0601735674e+00
2.8640450000e+06	9.0937594829e+00
2.8768780000e+06	9.1272397977e+00
2.8897100000e+06	9.1606355032e+00
2.9025430000e+06	9.1939153243e+00
2.9153750000e+06	9.2271090491e+00
2.9282070000e+06	9.2601918057e+00
2.9410400000e+06	9.2931655009e+00
2.9538720000e+06	9.3260509689e+00
2.9667050000e+06	9.3588170769e+00
2.9795370000e+06	9.3914934960e+00
2.9923690000e+06	9.4240555241e+00
3.0052020000e+06	9.4565049871e+00
3.0180340000e+06	9.4888626116e+00
3.0308660000e+06	9.5211037464e+00
3.0436990000e+06	9.5532301997e+00
3.0565310000e+06	9.5852626315e+00
3.0693640000e+06	9.6171702296e+00
3.0821960000e+06	9.6489823258e+00
3.0950280000e+06	9.6806744989e+00
3.1078610000e+06	9.7122485250e+00
3.1206930000e+06	9.7437248430e+00
3.1335260000e+06	9.7750728479e+00
3.1463580000e+06	9.8063217377e+00
3.1591900000e+06	9.8374471649e+00
