# Run_No. P(GPa) a(Å)    a_uncertainty(Å) b(Å)    b_uncertainty(Å) c(Å)    c_uncertainty(Å) V(cm3/mol) V_uncertainty(cm3/mol)
1       87           3.982   0.006            3.809   0.006            2.525   0.004            11.53      0.03
1       93           3.973   0.004            3.802   0.005            2.508   0.002            11.41      0.02
3       124          3.929   0.002            3.745   0.005            2.465   0.001            10.92      0.02
3       136          3.927   0.004            3.718   0.009            2.452   0.002            10.78      0.03
