# American Mineralogist: May 2018 Deposit AM-18-56267																				
# Fischer et al.: Equations of state and phase boundary for SiO2																				
# Table S2: Pressures (P), temperatures (T), SiO2 phase identification, and lattice parameters (a, b, c) from X-ray diffraction experiments.																				
# 																				
# File	    phase	    line	PKBr    err	PPt     err	Tsample err	TKBr    err aKBr    err	    aPt     err 	aSiO2   err 	bSiO2   err 	cSiO2	err
R130_106	stishovite	13-ID-D	39.6	1.4	38.5	1.5	1575	109	1285	330	3.334	0.003	3.815	0.004	4.048	0.002	4.048	0.002	2.614	0.003
R130_107	stishovite	13-ID-D	39.7	1.4	39.5	0.7	1467	108	1201	302	3.334	0.003	3.812	0.002	4.047	0.003	4.047	0.003	2.614	0.004
R130_108	stishovite	13-ID-D	39.7	1.4	37.8	1.1	1420	108	1165	290	3.332	0.003	3.813	0.002	4.044	0.003	4.044	0.003	2.609	0.004
R130_190	stishovite	13-ID-D	47.2	1.7	0.0	    0.0	1955	119	1579	428	3.289	0.002	0.0	    0.0	    4.027	0.002	4.027	0.002	2.613	0.003
R130_193	stishovite	13-ID-D	48.1	2.0	0.0	    0.0	2187	124	1758	488	3.285	0.003	0.0	    0.0	    4.030	0.001	4.030	0.001	2.613	0.002
R130_195	stishovite	13-ID-D	48.3	2.1	49.3	1.9	2355	130	1888	531	3.286	0.003	3.801	0.004	4.031	0.001	4.031	0.001	2.615	0.001
R130_196	stishovite	13-ID-D	48.3	2.2	50.1	1.6	2518	137	2014	573	3.287	0.002	3.802	0.003	4.033	0.002	4.033	0.002	2.616	0.003
R130_197	stishovite	13-ID-D	48.4	2.4	49.9	1.6	2703	130	2157	621	3.288	0.003	3.807	0.004	4.035	0.001	4.035	0.001	2.618	0.002
R130_198	stishovite	13-ID-D	48.4	2.5	48.8	1.1	2833	141	2257	654	3.289	0.003	3.813	0.001	4.036	0.002	4.036	0.002	2.620	0.003
R130_202	stishovite	13-ID-D	48.1	2.1	49.9	1.2	2280	132	1830	512	3.286	0.003	3.798	0.002	4.028	0.001	4.028	0.001	2.616	0.002
R130_205	stishovite	13-ID-D	47.9	1.8	47.8	2.1	2077	133	1673	459	3.285	0.002	3.799	0.005	4.029	0.001	4.029	0.001	2.611	0.002
R130_207	stishovite	13-ID-D	47.7	1.6	48.4	2.0	1868	120	1512	406	3.285	0.002	3.793	0.005	4.025	0.002	4.025	0.002	2.605	0.002
R130_208	stishovite	13-ID-D	47.7	1.5	47.8	2.1	1766	115	1432	379	3.284	0.002	3.792	0.005	4.024	0.002	4.024	0.002	2.606	0.002
R130_211	stishovite	13-ID-D	47.8	1.4	48.0	2.1	1698	110	1380	362	3.283	0.002	3.790	0.005	4.026	0.003	4.026	0.003	2.606	0.004
R130_212	stishovite	13-ID-D	47.6	1.3	46.4	1.4	1610	108	1312	339	3.284	0.002	3.793	0.003	4.025	0.003	4.025	0.003	2.605	0.003
R130_213	stishovite	13-ID-D	47.6	1.2	46.3	1.3	1477	107	1209	305	3.282	0.002	3.790	0.003	4.022	0.002	4.022	0.002	2.602	0.003
R130_214	stishovite	13-ID-D	47.6	1.1	46.3	1.8	1395	106	1146	284	3.282	0.001	3.788	0.005	4.021	0.002	4.021	0.002	2.604	0.002
R130_215	stishovite	13-ID-D	47.6	1.1	45.8	1.7	1295	105	1068	258	3.281	0.002	3.788	0.004	4.020	0.002	4.020	0.002	2.605	0.003
R130_216	stishovite	13-ID-D	47.6	1.1	45.0	1.2	1224	104	1013	239	3.281	0.002	3.788	0.002	4.021	0.002	4.021	0.002	2.607	0.002
R130_217	stishovite	13-ID-D	47.3	0.9	45.6	2.8	1134	104	943	    216	3.282	0.001	3.785	0.007	4.019	0.002	4.019	0.002	2.605	0.003
R130_235	stishovite	13-ID-D	56.5	1.8	0.0	    0.0	1928	112	1557	421	3.238	0.002	0.0	    0.0	    4.006	0.007	4.006	0.007	2.607	0.011
R130_237	stishovite	13-ID-D	56.5	2.0	0.0	    0.0	2076	116	1672	459	3.239	0.003	0.0	    0.0	    4.005	0.007	4.005	0.007	2.614	0.011
R130_240	stishovite	13-ID-D	57.1	2.1	0.0	    0.0	2281	118	1830	512	3.238	0.002	0.0	    0.0	    4.008	0.007	4.008	0.007	2.615	0.013
R130_244	stishovite	13-ID-D	57.6	2.3	0.0	    0.0	2659	124	2123	609	3.238	0.002	0.0	    0.0	    4.011	0.004	4.011	0.004	2.611	0.004
R130_245	stishovite	13-ID-D	57.6	2.2	0.0	    0.0	2551	123	2039	581	3.237	0.002	0.0	    0.0	    4.007	0.003	4.007	0.003	2.605	0.003
R130_246	stishovite	13-ID-D	57.5	2.1	0.0	    0.0	2385	130	1911	539	3.236	0.002	0.0	    0.0	    4.007	0.005	4.007	0.005	2.605	0.005
R130_249	stishovite	13-ID-D	57.4	1.9	0.0	    0.0	2180	119	1752	486	3.235	0.002	0.0	    0.0	    4.003	0.005	4.003	0.005	2.603	0.006
