# SiO2 Al2O3 FeO MgO CaO Na2O sample pressure temperature duration phase sigma_SiO2 sigma_Al2O3 sigma_FeO sigma_MgO sigma_CaO sigma_Na2O
41.38 23.49 14.67 17.37 4.38 0.06 BF-3 5 1250 12 garnet 0.25 0.68 0.83 0.36 0.42 0.02

38.55 0.28 23.1 38.93 0.16 0.06 BF-11 6 1400 12 olivine 0.12 0.37 0.37 0.81 0.12 0.02
55.39 1.34 13.64 28.13 1.49 0.45 BF-11 6 1400 12 orthopyroxene 0.56 0.21 0.31 0.54 0.53 0.09
54.46 2.59 11.92 20.44 8.86 1.76 BF-11 6 1400 12 clinopyroxene 0.6 0.14 0.33 0.45 0.19 0.1
41.62 22.85 14.1 17.96 4.28 0.05 BF-11 6 1400 12 garnet 0.32 0.72 0.56 0.87 0.57 0.03

38.28 0.13 22.86 38.94 0.13 0.09 BF-19 7 1450 12 olivine 0.45 0.12 0.1 0.66 0.02 0.02
54.76 1.2 13.5 27.97 1.47 0.47 BF-19 7 1450 12 orthopyroxene 0.93 0.45 0.17 0.46 0.31 0.06
54.62 2.29 11.74 20.18 9.61 1.67 BF-19 7 1450 12 clinopyroxene 0.35 0.19 0.39 0.48 0.66 0.08
41.24 23.62 14.04 17.57 4.29 0.06 BF-19 7 1450 12 garnet 0.62 0.43 0.54 0.28 0.15 0.01

38.91 0.04 22.51 40.32 0.09 0.05 BF-17 8 1500 12 olivine 0.04 0.01 0.15 0.11 0.01 0.01
56.02 0.99 13.46 29.15 1.33 0.42 BF-17 8 1500 12 orthopyroxene 0.48 0.1 0.16 0.61 0.3 0.02
54.6 2.16 11.7 21.3 8.74 1.49 BF-17 8 1500 12 clinopyroxene 0.41 0.07 0.15 0.59 0.51 0.07
42.27 23.19 14.81 18.11 3.86 0.02 BF-17 8 1500 12 garnet 0.19 0.94 0.97 0.74 1.28 0.01

38.39 0.22 22.6 39.51 0.13 0.05 BF-20 9 1550 9 olivine 0.25 0.32 0.19 0.34 0.05 0.01
55.96 0.81 13.81 28.03 1.5 0.42 BF-20 9 1550 9 orthopyroxene 0.2 0.17 0.09 0.33 0.08 0.02
54.94 1.61 13.23 21.42 7.72 1.49 BF-20 9 1550 9 clinopyroxene 0.53 0.16 0.61 0.3 0.72 0.07
41.72 22.75 14.06 18.92 4.32 0.02 BF-20 9 1550 9 garnet 0.49 1.6 0.8 1.12 0.25 0.01

38.57 0.91 22.05 39.03 0.32 0.07 BF-14 10 1575 3 olivine 0.41 0.56 0.44 0.57 0.16 0.01
55.25 1.66 13.13 22.77 7.01 1.2 BF-14 10 1575 3 clinopyroxene 0.55 0.32 0.53 0.85 0.81 0.15
41.67 22.55 14.57 18.34 3.74 0.06 BF-14 10 1575 3 garnet 1.35 0.44 0.56 0.34 0.51 0.04

38.44 1.25 21.95 38.18 0.37 0.08 BF-21 11 1650 3 olivine 0.27 0.63 0.39 0.84 0.15 0.02
54.96 1.74 12.89 21.59 7.92 1.28 BF-21 11 1650 3 clinopyroxene 0.57 0.44 0.98 0.71 1.14 0.27
41.62 23.19 14.22 17.78 4.23 0.05 BF-21 11 1650 3 garnet 0.49 0.86 0.61 0.62 0.52 0.03

38.56 0.1 20.32 41.39 0.14 0.1 BF-55 13 1700 3 olivine 0.67 0.1 0.38 0.41 0.04 0.01
55.09 0.65 11.52 30.76 1.07 0.21 BF-55 13 1700 3 clinopyroxene 1.21 0.38 0.57 1.07 0.24 0.01
53.52 2.41 11.3 21.68 8.52 1.26 BF-55 13 1700 3 clinopyroxene 0.5 0.63 0.51 0.57 0.57 0.02
42.32 18.76 13.82 19.59 3.92 0.16 BF-55 13 1700 3 majorite 0.41 0.38 0.23 0.48 0.29 0.01

38.81 0.58 19.31 39.86 0.35 0.13 BF-32 13.5 1710 6 olivine 0.08 0.09 0.1 0.04 0.08 0.01
37.3 0.95 28.24 31.31 0.29 0.22 BF-32 13.5 1710 6 ringwoodite 0.43 0.42 0.63 0.35 0.15 0.03
55.54 0.89 10.76 26.85 3.63 0.71 BF-32 13.5 1710 6 clinopyroxene 0.15 0.27 0.26 0.53 0.29 0.13
54.86 2.23 10.44 20.92 9.15 1.71 BF-32 13.5 1710 6 clinopyroxene 0.81 0.25 0.48 0.87 1.01 0.14
44.05 18.42 13.88 19.41 4.25 0.34 BF-32 13.5 1710 6 majorite 0.5 0.9 0.44 0.51 0.32 0.08
0.4 0.24 80.56 20.21 0.07 0.74 BF-32 13.5 1710 6 ferropericlase 0.3 0.06 0.93 1.08 0.02 0.03

37.89 0.37 21.61 37.39 0.11 0.2 BF-25 14 1725 6 wadsleyite 0.19 0.17 0.25 0.45 0.06 0.02
54.6 1.46 6.97 19.6 14.74 1.22 BF-25 14 1725 6 clinopyroxene 0.35 0.37 0.48 0.63 1.51 0.21
46.82 14.55 11.01 21.72 5.13 0.48 BF-25 14 1725 6 majorite 1.56 2.64 0.29 0.52 0.63 0.24
0.13 0.23 68.35 31.98 0.04 0.83 BF-25 14 1725 6 ferropericlase 0.11 0.02 0.9 1.2 0.01 0.02

38.43 0.31 23.1 38.81 0.14 0.18 BF-23 15 1750 2 wadsleyite 0.3 0.12 0.62 0.58 0.12 0.02
38.25 0.4 29.67 33.38 0.24 0.14 BF-23 15 1750 2 ringwoodite 0.46 0.26 0.4 0.57 0.18 0.04
55.02 1.11 6.56 19.21 17.05 1.02 BF-23 15 1750 2 clinopyroxene 0.46 0.37 0.1 0.37 0.87 0.13
45.3 17.68 10.87 20.33 5.51 0.54 BF-23 15 1750 2 majorite 0.73 1.55 0.23 0.59 1.42 0.32
0.15 0.19 67.24 31.92 0.08 0.74 BF-23 15 1750 2 ferropericlase 0.11 0.02 0.52 0.42 0.01 0.04

37.77 0.1 24.75 37.41 0.05 0.12 BF-45 17 1750 3 ringwoodite 0.52 0.02 0.5 0.9 0.02 0.01
51.36 7.38 9.85 24.45 5.68 0.83 BF-45 17 1750 3 majorite 0.57 0.56 1.01 0.77 0.27 0.05

37.89 0.18 25.57 36.49 0.11 0.1 BF-51 19 1750 3 ringwoodite 0.24 0.18 0.7 0.57 0.13 0.01
51.02 7.01 11.2 23.74 5.57 0.84 BF-51 19 1750 3 majorite 0.52 1.05 0.7 1.28 0.7 0.12

37.71 0.05 24.86 37.63 0.03 0.12 BF-56 20 1750 3 ringwoodite 0.2 0.01 0.2 0.2 0.01 0.01
51.27 6.28 11.85 25.26 4.35 0.66 BF-56 20 1750 3 majorite 0.18 0.24 0.2 0.19 0.12 0.03

37.43 0.06 24.25 37.3 0.1 0.13 BF-54 21 1750 3 ringwoodite 0.26 0.04 0.33 0.24 0.1 0.06
50.78 5.96 11.88 24.77 4.63 0.68 BF-54 21 1750 3 majorite 0.51 0.91 0.23 0.65 0.58 0.04

50.42 8.22 10.52 23.51 7.88 0.67 BF-58 23.5 1765 3 majorite 0.5 1.33 1.26 1.92 2.14 0.23
51.52 3.13 11.04 31.42 3.59 0.19 BF-58 23.5 1765 3 perovskite 0 0 0 0 0 0
0.77 0.25 61.72 35.29 0.07 1.67 BF-58 23.5 1765 3 ferropericlase 0 0 0 0 0 0
