|6.6.6
/home/bob/software/Perple_X/example_23/in23_1.tab                                                   
           2
P(bar)  
   1.0000000000000000     
   999.99599999999998     
         251
T(K)    
   1400.0000000000000     
   100.00000000000000     
           7
          12
rho,kg/m3      alpha,1/K      beta,1/bar     Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        s,J/K/kg       h,J/kg         cp,J/K/kg      V,J/bar/mol   
  3528.240      0.2618428E-04  0.6681681E-06   1560040.       787438.9       6.649496       8.600777       4.724212       2349.889      -9352312.       1209.529       143.6704    
  3530.595      0.2609063E-04  0.6660687E-06   1564641.       788774.2       6.657075       8.608414       4.726638       2349.148      -9325089.       1209.305       143.5746    
  3532.944      0.2599772E-04  0.6639847E-06   1569238.       790106.8       6.664631       8.616028       4.729057       2348.411      -9297881.       1209.082       143.4792    
  3535.287      0.2590554E-04  0.6619160E-06   1573831.       791436.8       6.672165       8.623620       4.731467       2347.677      -9270687.       1208.861       143.3841    
  3537.624      0.2581407E-04  0.6598623E-06   1578420.       792764.3       6.679677       8.631190       4.733869       2346.945      -9243507.       1208.642       143.2893    
  3539.955      0.2572332E-04  0.6578236E-06   1583004.       794089.2       6.687167       8.638737       4.736262       2346.217      -9216341.       1208.425       143.1950    
  3542.281      0.2563326E-04  0.6557996E-06   1587585.       795411.5       6.694636       8.646263       4.738648       2345.492      -9189189.       1208.210       143.1009    
  3544.601      0.2554389E-04  0.6537901E-06   1592161.       796731.3       6.702083       8.653767       4.741025       2344.770      -9162052.       1207.996       143.0073    
  3546.916      0.2545520E-04  0.6517950E-06   1596733.       798048.6       6.709509       8.661249       4.743394       2344.051      -9134928.       1207.784       142.9139    
  3549.225      0.2536719E-04  0.6498142E-06   1601302.       799363.4       6.716914       8.668710       4.745756       2343.335      -9107818.       1207.574       142.8210    
  3551.529      0.2527985E-04  0.6478473E-06   1605866.       800675.7       6.724298       8.676149       4.748109       2342.621      -9080722.       1207.365       142.7283    
  3553.827      0.2519316E-04  0.6458944E-06   1610426.       801985.5       6.731661       8.683568       4.750454       2341.911      -9053640.       1207.158       142.6360    
  3556.119      0.2510713E-04  0.6439552E-06   1614982.       803292.9       6.739003       8.690965       4.752792       2341.203      -9026571.       1206.953       142.5441    
  3558.407      0.2502173E-04  0.6420296E-06   1619534.       804597.8       6.746325       8.698342       4.755122       2340.499      -8999517.       1206.749       142.4525    
  3560.689      0.2493698E-04  0.6401173E-06   1624083.       805900.4       6.753627       8.705698       4.757444       2339.797      -8972476.       1206.547       142.3612    
  3562.965      0.2485285E-04  0.6382184E-06   1628627.       807200.4       6.760909       8.713033       4.759758       2339.098      -8945449.       1206.347       142.2702    
  3565.237      0.2476934E-04  0.6363325E-06   1633168.       808498.1       6.768170       8.720348       4.762065       2338.402      -8918436.       1206.148       142.1796    
  3567.503      0.2468644E-04  0.6344597E-06   1637705.       809793.4       6.775411       8.727643       4.764365       2337.709      -8891436.       1205.950       142.0893    
  3569.763      0.2460415E-04  0.6325996E-06   1642238.       811086.4       6.782633       8.734918       4.766656       2337.018      -8864450.       1205.754       141.9993    
  3572.019      0.2452246E-04  0.6307522E-06   1646767.       812377.0       6.789835       8.742173       4.768941       2336.330      -8837478.       1205.560       141.9096    
  3574.270      0.2444136E-04  0.6289174E-06   1651293.       813665.2       6.797018       8.749408       4.771218       2335.645      -8810519.       1205.367       141.8202    
  3576.515      0.2436084E-04  0.6270949E-06   1655815.       814951.1       6.804181       8.756624       4.773487       2334.963      -8783574.       1205.176       141.7312    
  3587.658      0.2405778E-04  0.6201094E-06   1674497.       820834.3       6.831825       8.785197       4.783241       2336.324      -8753869.       1204.434       141.2910    
  3589.880      0.2397986E-04  0.6183547E-06   1678971.       822110.1       6.838828       8.792266       4.785475       2335.655      -8727008.       1204.249       141.2036    
  3592.097      0.2390249E-04  0.6166114E-06   1683442.       823383.7       6.845813       8.799315       4.787702       2334.988      -8700161.       1204.064       141.1164    
  3594.310      0.2382567E-04  0.6148796E-06   1687909.       824655.0       6.852780       8.806346       4.789922       2334.324      -8673327.       1203.881       141.0295    
  3596.517      0.2374939E-04  0.6131590E-06   1692373.       825924.1       6.859729       8.813358       4.792134       2333.663      -8646506.       1203.700       140.9430    
  3598.720      0.2367363E-04  0.6114497E-06   1696833.       827190.9       6.866660       8.820352       4.794340       2333.004      -8619699.       1203.520       140.8567    
  3600.918      0.2359840E-04  0.6097513E-06   1701290.       828455.6       6.873572       8.827328       4.796539       2332.347      -8592905.       1203.341       140.7707    
  3603.111      0.2352370E-04  0.6080640E-06   1705743.       829718.0       6.880468       8.834285       4.798731       2331.693      -8566124.       1203.163       140.6850    
  3605.300      0.2344950E-04  0.6063874E-06   1710193.       830978.3       6.887345       8.841225       4.800916       2331.041      -8539356.       1202.987       140.5996    
  3607.484      0.2337582E-04  0.6047216E-06   1714639.       832236.4       6.894205       8.848146       4.803095       2330.392      -8512601.       1202.811       140.5145    
  3682.841      0.2407753E-04  0.5616037E-06   1855831.       921579.7       7.098681       9.151835       5.002360       2315.842      -8506233.       1207.133       137.6393    
  3684.908      0.2400819E-04  0.5601418E-06   1860357.       922869.4       7.105340       9.158527       5.004455       2315.189      -8480067.       1206.954       137.5621    
  3686.970      0.2393930E-04  0.5586888E-06   1864880.       924156.9       7.111982       9.165203       5.006545       2314.539      -8453913.       1206.776       137.4852    
  3689.027      0.2387085E-04  0.5572447E-06   1869399.       925442.3       7.118608       9.171862       5.008628       2313.891      -8427770.       1206.599       137.4085    
  3691.081      0.2380284E-04  0.5558093E-06   1873915.       926725.6       7.125218       9.178505       5.010704       2313.245      -8401639.       1206.424       137.3321    
  3751.097      0.2359332E-04  0.5223747E-06   1990486.       988432.0       7.284511       9.391382       5.133271       2310.575      -8378583.       1207.127       135.1348    
  3753.055      0.2353056E-04  0.5211398E-06   1994902.       989705.8       7.290685       9.397605       5.135238       2309.947      -8352873.       1206.956       135.0643    
  3755.009      0.2346817E-04  0.5199118E-06   1999315.       990977.7       7.296846       9.403814       5.137200       2309.321      -8327174.       1206.786       134.9940    
  3756.960      0.2340615E-04  0.5186905E-06   2003726.       992247.7       7.302993       9.410009       5.139156       2308.697      -8301486.       1206.616       134.9239    
  3758.906      0.2334450E-04  0.5174760E-06   2008133.       993515.6       7.309126       9.416190       5.141106       2308.075      -8275809.       1206.448       134.8541    
  3760.850      0.2328322E-04  0.5162681E-06   2012537.       994781.7       7.315247       9.422357       5.143052       2307.455      -8250142.       1206.281       134.7844    
  3762.790      0.2322229E-04  0.5150668E-06   2016939.       996045.8       7.321353       9.428510       5.144992       2306.836      -8224487.       1206.116       134.7149    
  3764.726      0.2316172E-04  0.5138720E-06   2021337.       997307.9       7.327447       9.434650       5.146926       2306.220      -8198842.       1205.951       134.6456    
  3766.659      0.2310151E-04  0.5126837E-06   2025733.       998568.2       7.333527       9.440776       5.148856       2305.606      -8173208.       1205.787       134.5765    
  3768.588      0.2304164E-04  0.5115019E-06   2030125.       999826.5       7.339595       9.446888       5.150780       2304.994      -8147585.       1205.624       134.5076    
  3770.514      0.2298213E-04  0.5103264E-06   2034515.       1001083.       7.345649       9.452987       5.152699       2304.383      -8121972.       1205.462       134.4389    
  3772.437      0.2292295E-04  0.5091572E-06   2038902.       1002338.       7.351690       9.459073       5.154613       2303.775      -8096370.       1205.301       134.3704    
  3774.356      0.2286412E-04  0.5079943E-06   2043286.       1003590.       7.357718       9.465145       5.156521       2303.168      -8070779.       1205.141       134.3021    
  3776.271      0.2280562E-04  0.5068375E-06   2047667.       1004841.       7.363734       9.471204       5.158425       2302.563      -8045199.       1204.981       134.2339    
  3792.529      0.2233768E-04  0.4987850E-06   2076809.       1013117.       7.400037       9.506762       5.168509       2305.487      -8014405.       1203.750       133.6585    
  3794.419      0.2228182E-04  0.4977002E-06   2081080.       1014348.       7.405796       9.512588       5.170362       2304.899      -7988926.       1203.597       133.5919    
  3796.306      0.2222627E-04  0.4966209E-06   2085347.       1015578.       7.411543       9.518402       5.172210       2304.313      -7963458.       1203.445       133.5255    
  3798.189      0.2217103E-04  0.4955469E-06   2089612.       1016807.       7.417278       9.524203       5.174053       2303.728      -7938000.       1203.293       133.4593    
  3800.070      0.2211609E-04  0.4944783E-06   2093875.       1018033.       7.423003       9.529993       5.175891       2303.146      -7912553.       1203.143       133.3933    
  3801.947      0.2206146E-04  0.4934151E-06   2098136.       1019258.       7.428715       9.535771       5.177725       2302.564      -7887116.       1202.993       133.3274    
  3803.822      0.2200712E-04  0.4923571E-06   2102393.       1020481.       7.434417       9.541537       5.179554       2301.985      -7861689.       1202.844       133.2617    
  3805.693      0.2195308E-04  0.4913043E-06   2106649.       1021702.       7.440107       9.547291       5.181378       2301.407      -7836273.       1202.696       133.1962    
  3807.561      0.2189933E-04  0.4902568E-06   2110902.       1022922.       7.445787       9.553033       5.183197       2300.831      -7810867.       1202.549       133.1308    
  3809.426      0.2184588E-04  0.4892144E-06   2115153.       1024139.       7.451455       9.558764       5.185011       2300.257      -7785471.       1202.403       133.0656    
  3821.333      0.2172668E-04  0.4830344E-06   2139943.       1040474.       7.483309       9.607495       5.218049       2301.182      -7758032.       1202.181       132.6510    
  3823.178      0.2167471E-04  0.4820388E-06   2144134.       1041687.       7.488826       9.613082       5.219830       2300.614      -7732721.       1202.037       132.5870    
  3825.019      0.2162302E-04  0.4810479E-06   2148323.       1042898.       7.494333       9.618658       5.221606       2300.048      -7707421.       1201.894       132.5232    
  3826.858      0.2157159E-04  0.4800617E-06   2152509.       1044108.       7.499829       9.624223       5.223378       2299.483      -7682130.       1201.752       132.4595    
  3828.693      0.2152044E-04  0.4790801E-06   2156693.       1045315.       7.505315       9.629777       5.225145       2298.921      -7656850.       1201.611       132.3960    
  3834.624      0.2144415E-04  0.4760578E-06   2169294.       1052967.       7.521386       9.653178       5.240177       2298.920      -7630787.       1201.441       132.1913    
  3836.448      0.2139388E-04  0.4750999E-06   2173451.       1054171.       7.526798       9.658661       5.241925       2298.362      -7605553.       1201.302       132.1284    
  3838.269      0.2134387E-04  0.4741463E-06   2177606.       1055373.       7.532201       9.664133       5.243668       2297.805      -7580329.       1201.163       132.0657    
  3840.088      0.2129412E-04  0.4731972E-06   2181758.       1056573.       7.537594       9.669594       5.245408       2297.250      -7555115.       1201.026       132.0032    
  3862.282      0.2046652E-04  0.4630601E-06   2226340.       1084108.       7.592307       9.750312       5.298028       2288.846      -7541597.       1198.356       131.2446    
  3864.069      0.2041943E-04  0.4621598E-06   2230468.       1085285.       7.597585       9.755618       5.299679       2288.317      -7516505.       1198.227       131.1839    
  3865.854      0.2037256E-04  0.4612634E-06   2234594.       1086462.       7.602853       9.760914       5.301326       2287.789      -7491424.       1198.099       131.1234    
  3867.636      0.2032593E-04  0.4603711E-06   2238718.       1087636.       7.608113       9.766201       5.302969       2287.263      -7466352.       1197.971       131.0630    
  3869.415      0.2027953E-04  0.4594827E-06   2242840.       1088809.       7.613363       9.771477       5.304607       2286.738      -7441289.       1197.844       131.0027    
  3899.970      0.1930351E-04  0.4468747E-06   2301944.       1130732.       7.682751       9.883443       5.384547       2273.483      -7435562.       1194.644       129.9763    
  3901.711      0.1926001E-04  0.4460437E-06   2306035.       1131877.       7.687859       9.888521       5.386071       2272.989      -7410668.       1194.527       129.9183    
  3903.450      0.1921671E-04  0.4452163E-06   2310125.       1133021.       7.692959       9.893590       5.387590       2272.496      -7385784.       1194.410       129.8604    
  3905.187      0.1917363E-04  0.4443923E-06   2314213.       1134163.       7.698050       9.898650       5.389106       2272.004      -7360909.       1194.294       129.8027    
  3906.921      0.1913075E-04  0.4435718E-06   2318299.       1135303.       7.703133       9.903700       5.390618       2271.514      -7336043.       1194.178       129.7451    
  3919.262      0.1912959E-04  0.4391084E-06   2345106.       1162408.       7.735335       9.968979       5.445994       2260.872      -7326490.       1194.121       129.3365    
  3920.981      0.1908695E-04  0.4383062E-06   2349191.       1163548.       7.740371       9.973962       5.447470       2260.385      -7301712.       1194.004       129.2798    
  3922.699      0.1904450E-04  0.4375074E-06   2353274.       1164687.       7.745399       9.978936       5.448942       2259.899      -7276943.       1193.888       129.2232    
  3924.414      0.1900226E-04  0.4367120E-06   2357356.       1165825.       7.750419       9.983902       5.450411       2259.414      -7252184.       1193.773       129.1667    
  3926.126      0.1896021E-04  0.4359198E-06   2361435.       1166961.       7.755430       9.988859       5.451876       2258.930      -7227433.       1193.658       129.1104    
  3943.571      0.1908559E-04  0.4304520E-06   2396004.       1200965.       7.794692       10.06788       5.518492       2246.767      -7220213.       1194.241       128.5393    
  3945.267      0.1904372E-04  0.4296812E-06   2400083.       1202111.       7.799647       10.07277       5.519936       2246.284      -7195586.       1194.125       128.4840    
  3946.961      0.1900205E-04  0.4289135E-06   2404160.       1203255.       7.804593       10.07766       5.521377       2245.802      -7170968.       1194.009       128.4289    
  3948.653      0.1896056E-04  0.4281489E-06   2408236.       1204398.       7.809532       10.08253       5.522814       2245.321      -7146359.       1193.894       128.3738    
  3950.342      0.1891927E-04  0.4273875E-06   2412309.       1205538.       7.814463       10.08740       5.524248       2244.842      -7121759.       1193.779       128.3189    
  3952.030      0.1887816E-04  0.4266292E-06   2416381.       1206678.       7.819385       10.09225       5.525678       2244.363      -7097167.       1193.665       128.2642    
  3953.715      0.1883725E-04  0.4258739E-06   2420451.       1207816.       7.824299       10.09710       5.527105       2243.886      -7072585.       1193.551       128.2095    
  3955.397      0.1879652E-04  0.4251217E-06   2424519.       1208952.       7.829206       10.10195       5.528528       2243.410      -7048011.       1193.438       128.1550    
  3957.078      0.1875597E-04  0.4243726E-06   2428585.       1210087.       7.834104       10.10678       5.529948       2242.936      -7023447.       1193.326       128.1005    
  3995.054      0.1937926E-04  0.4148034E-06   2494674.       1272312.       7.902155       10.24241       5.643331       2223.604      -7026759.       1196.380       126.8828    
  3996.710      0.1933864E-04  0.4140881E-06   2498742.       1273498.       7.906958       10.24719       5.644789       2223.119      -7002460.       1196.262       126.8302    
  3998.364      0.1929820E-04  0.4133756E-06   2502809.       1274682.       7.911752       10.25196       5.646244       2222.636      -6978169.       1196.145       126.7778    
  4000.016      0.1925794E-04  0.4126660E-06   2506874.       1275864.       7.916539       10.25672       5.647696       2222.154      -6953887.       1196.028       126.7254    
  4001.666      0.1921786E-04  0.4119591E-06   2510937.       1277045.       7.921318       10.26147       5.649144       2221.673      -6929614.       1195.912       126.6732    
  4003.313      0.1917795E-04  0.4112551E-06   2514998.       1278224.       7.926090       10.26621       5.650589       2221.194      -6905349.       1195.796       126.6211    
  4004.958      0.1913823E-04  0.4105538E-06   2519057.       1279402.       7.930855       10.27095       5.652031       2220.715      -6881093.       1195.681       126.5690    
  4006.602      0.1909867E-04  0.4098552E-06   2523114.       1280578.       7.935611       10.27568       5.653469       2220.238      -6856845.       1195.566       126.5171    
  4008.243      0.1905929E-04  0.4091594E-06   2527170.       1281753.       7.940361       10.28040       5.654904       2219.762      -6832605.       1195.452       126.4653    
  4009.882      0.1902008E-04  0.4084662E-06   2531224.       1282927.       7.945103       10.28511       5.656335       2219.287      -6808374.       1195.338       126.4137    
  4011.518      0.1898105E-04  0.4077758E-06   2535276.       1284099.       7.949837       10.28982       5.657763       2218.813      -6784152.       1195.225       126.3621    
  4013.153      0.1894218E-04  0.4070881E-06   2539327.       1285269.       7.954565       10.29451       5.659188       2218.340      -6759938.       1195.112       126.3106    
  4014.786      0.1890348E-04  0.4064030E-06   2543375.       1286438.       7.959285       10.29920       5.660610       2217.869      -6735732.       1195.000       126.2592    
  4016.416      0.1886495E-04  0.4057205E-06   2547422.       1287605.       7.963997       10.30388       5.662028       2217.399      -6711534.       1194.889       126.2080    
  4018.045      0.1882659E-04  0.4050407E-06   2551467.       1288771.       7.968702       10.30856       5.663443       2216.930      -6687345.       1194.778       126.1568    
  4019.671      0.1878839E-04  0.4043635E-06   2555511.       1289936.       7.973400       10.31322       5.664855       2216.462      -6663165.       1194.667       126.1058    
  4021.296      0.1875035E-04  0.4036889E-06   2559552.       1291099.       7.978091       10.31788       5.666264       2215.995      -6638993.       1194.557       126.0548    
  4022.918      0.1871248E-04  0.4030168E-06   2563592.       1292261.       7.982775       10.32253       5.667669       2215.529      -6614829.       1194.447       126.0040    
  4024.538      0.1867477E-04  0.4023474E-06   2567630.       1293421.       7.987451       10.32717       5.669071       2215.065      -6590673.       1194.338       125.9533    
  4026.157      0.1863722E-04  0.4016804E-06   2571667.       1294580.       7.992121       10.33181       5.670470       2214.601      -6566526.       1194.230       125.9026    
  4027.773      0.1859983E-04  0.4010161E-06   2575702.       1295737.       7.996783       10.33644       5.671866       2214.139      -6542387.       1194.121       125.8521    
  4029.387      0.1856260E-04  0.4003542E-06   2579735.       1296893.       8.001438       10.34106       5.673259       2213.677      -6518256.       1194.014       125.8017    
  4030.999      0.1852553E-04  0.3996948E-06   2583766.       1298048.       8.006086       10.34567       5.674648       2213.217      -6494134.       1193.906       125.7514    
  4032.609      0.1848862E-04  0.3990379E-06   2587796.       1299201.       8.010727       10.35028       5.676035       2212.758      -6470019.       1193.800       125.7012    
  4036.335      0.1849344E-04  0.3979201E-06   2595407.       1303906.       8.018796       10.36211       5.683679       2211.046      -6447807.       1193.888       125.5852    
  4037.940      0.1845681E-04  0.3972695E-06   2599434.       1305060.       8.023419       10.36670       5.685063       2210.588      -6423723.       1193.781       125.5352    
  4039.543      0.1842033E-04  0.3966213E-06   2603459.       1306212.       8.028035       10.37128       5.686443       2210.132      -6399648.       1193.676       125.4854    
  4041.144      0.1838400E-04  0.3959756E-06   2607482.       1307363.       8.032644       10.37586       5.687821       2209.676      -6375581.       1193.570       125.4357    
  4042.743      0.1834783E-04  0.3953323E-06   2611504.       1308512.       8.037246       10.38043       5.689195       2209.222      -6351522.       1193.466       125.3861    
  4059.765      0.1829320E-04  0.3879574E-06   2657967.       1299387.       8.091413       10.39934       5.657426       2207.690      -6329075.       1193.655       124.8604    
  4061.339      0.1825636E-04  0.3873072E-06   2662243.       1300558.       8.096349       10.40423       5.658876       2207.240      -6305123.       1193.549       124.8120    
  4062.911      0.1821969E-04  0.3866595E-06   2666516.       1301727.       8.101277       10.40912       5.660323       2206.791      -6281179.       1193.444       124.7637    
  4064.481      0.1818316E-04  0.3860143E-06   2670788.       1302894.       8.106198       10.41399       5.661768       2206.343      -6257243.       1193.339       124.7155    
  4066.049      0.1814679E-04  0.3853715E-06   2675059.       1304061.       8.111111       10.41886       5.663209       2205.896      -6233315.       1193.235       124.6674    
  4067.615      0.1811058E-04  0.3847312E-06   2679327.       1305225.       8.116017       10.42372       5.664647       2205.450      -6209394.       1193.131       124.6194    
  4069.179      0.1807452E-04  0.3840932E-06   2683594.       1306389.       8.120916       10.42858       5.666082       2205.006      -6185482.       1193.027       124.5715    
  4070.741      0.1803861E-04  0.3834577E-06   2687859.       1307551.       8.125807       10.43343       5.667515       2204.562      -6161577.       1192.924       124.5237    
  4072.301      0.1800286E-04  0.3828246E-06   2692122.       1308712.       8.130691       10.43826       5.668944       2204.119      -6137680.       1192.822       124.4760    
  4073.859      0.1796725E-04  0.3821938E-06   2696384.       1309872.       8.135568       10.44310       5.670371       2203.678      -6113791.       1192.719       124.4284    
  4075.415      0.1793179E-04  0.3815655E-06   2700643.       1311030.       8.140437       10.44792       5.671794       2203.237      -6089910.       1192.618       124.3809    
  4076.969      0.1789649E-04  0.3809394E-06   2704902.       1312187.       8.145299       10.45274       5.673215       2202.798      -6066037.       1192.517       124.3335    
  4078.521      0.1786132E-04  0.3803157E-06   2709158.       1313343.       8.150154       10.45755       5.674632       2202.359      -6042171.       1192.416       124.2862    
  4080.071      0.1782631E-04  0.3796943E-06   2713413.       1314497.       8.155002       10.46235       5.676047       2201.922      -6018313.       1192.315       124.2390    
  4081.619      0.1779144E-04  0.3790752E-06   2717666.       1315650.       8.159842       10.46714       5.677459       2201.486      -5994463.       1192.215       124.1918    
  4196.560      0.1921855E-04  0.3612867E-06   2876342.       1410959.       8.278917       10.64751       5.798430       2191.912      -5983825.       1197.101       120.7903    
  4198.075      0.1918075E-04  0.3606644E-06   2881086.       1412369.       8.284246       10.65300       5.800280       2191.455      -5960687.       1196.988       120.7467    
  4199.588      0.1914310E-04  0.3600447E-06   2885828.       1413778.       8.289567       10.65848       5.802127       2190.999      -5937555.       1196.875       120.7032    
  4201.099      0.1910562E-04  0.3594273E-06   2890567.       1415186.       8.294879       10.66395       5.803971       2190.543      -5914431.       1196.763       120.6598    
  4342.991      0.2414871E-04  0.3566819E-06   2969698.       1606993.       8.269165       10.84966       6.082925       2210.058      -5861304.       1219.534       116.7177    
  4344.539      0.2411376E-04  0.3561688E-06   2973655.       1608543.       8.273198       10.85411       6.084774       2209.502      -5839116.       1219.406       116.6761    
  4346.086      0.2407892E-04  0.3556573E-06   2977611.       1610092.       8.277226       10.85856       6.086620       2208.948      -5816934.       1219.279       116.6346    
  4347.630      0.2404421E-04  0.3551476E-06   2981565.       1611639.       8.281249       10.86301       6.088462       2208.394      -5794759.       1219.152       116.5931    
  4349.174      0.2400961E-04  0.3546395E-06   2985518.       1613185.       8.285266       10.86744       6.090301       2207.842      -5772591.       1219.025       116.5517    
  4350.715      0.2397514E-04  0.3541331E-06   2989469.       1614730.       8.289278       10.87187       6.092137       2207.290      -5750430.       1218.899       116.5104    
  4352.255      0.2394078E-04  0.3536283E-06   2993420.       1616273.       8.293286       10.87630       6.093969       2206.740      -5728275.       1218.774       116.4692    
  4353.793      0.2390654E-04  0.3531252E-06   2997368.       1617816.       8.297288       10.88072       6.095798       2206.190      -5706127.       1218.648       116.4281    
  4355.330      0.2387242E-04  0.3526238E-06   3001316.       1619356.       8.301284       10.88513       6.097625       2205.641      -5683986.       1218.523       116.3870    
  4356.865      0.2383842E-04  0.3521240E-06   3005261.       1620896.       8.305276       10.88953       6.099447       2205.094      -5661851.       1218.399       116.3460    
  4358.398      0.2380453E-04  0.3516258E-06   3009206.       1622434.       8.309263       10.89393       6.101267       2204.547      -5639723.       1218.275       116.3051    
  4359.930      0.2377075E-04  0.3511292E-06   3013149.       1623971.       8.313244       10.89833       6.103084       2204.001      -5617601.       1218.151       116.2642    
  4361.460      0.2373709E-04  0.3506342E-06   3017091.       1625506.       8.317221       10.90271       6.104897       2203.457      -5595486.       1218.028       116.2234    
  3146.881      0.4303163E-04  0.1200158E-05   906564.7       307152.6       5.367342       6.467025       3.124187       2534.384     -0.1191510E+08   1252.900       161.0813    
  3150.625      0.4257388E-04  0.1189798E-05   912991.6       555276.6       5.383132       7.244116       4.198134       2533.025     -0.1188552E+08   1251.742       160.8899    
  3154.359      0.4212461E-04  0.1179495E-05   919533.0       556956.4       5.399183       7.259027       4.201990       2531.681     -0.1185595E+08   1250.619       160.6994    
  3188.307      0.4328242E-04  0.1166451E-05   931169.5       582428.9       5.404236       7.318650       4.274067       2534.438     -0.1181992E+08   1252.760       158.9884    
  3192.013      0.4284061E-04  0.1156549E-05   937743.9       584134.0       5.420132       7.333324       4.277834       2533.089     -0.1179073E+08   1251.661       158.8038    
  3195.691      0.4241072E-04  0.1146904E-05   944275.3       585829.7       5.435843       7.347848       4.281573       2531.754     -0.1176156E+08   1250.592       158.6210    
  3199.343      0.4199219E-04  0.1137504E-05   950765.3       587516.4       5.451377       7.362227       4.285284       2530.434     -0.1173240E+08   1249.552       158.4399    
  3202.970      0.4158445E-04  0.1128339E-05   957214.9       589194.2       5.466738       7.376464       4.288968       2529.129     -0.1170325E+08   1248.540       158.2606    
  3222.260      0.4197630E-04  0.1119094E-05   965288.5       603560.9       5.473288       7.411580       4.327930       2530.020     -0.1167101E+08   1249.012       157.3131    
  3225.853      0.4157833E-04  0.1110236E-05   971753.9       605246.8       5.488527       7.425660       4.331556       2528.724     -0.1164206E+08   1248.030       157.1379    
  3229.423      0.4119005E-04  0.1101587E-05   978182.2       606924.1       5.503607       7.439610       4.335156       2527.442     -0.1161313E+08   1247.073       156.9642    
  3232.969      0.4081102E-04  0.1093136E-05   984575.4       608593.2       5.518534       7.453434       4.338732       2526.173     -0.1158421E+08   1246.140       156.7921    
  3236.491      0.4044085E-04  0.1084877E-05   990933.7       610254.0       5.533311       7.467134       4.342283       2524.918     -0.1155531E+08   1245.229       156.6214    
  3239.991      0.4007916E-04  0.1076799E-05   997259.8       611906.9       5.547946       7.480717       4.345810       2523.674     -0.1152642E+08   1244.340       156.4522    
  3243.469      0.3972561E-04  0.1068898E-05   1003553.       613551.9       5.562440       7.494183       4.349314       2522.443     -0.1149754E+08   1243.472       156.2845    
  3246.925      0.3937987E-04  0.1061164E-05   1009816.       615189.3       5.576798       7.507537       4.352796       2521.225     -0.1146868E+08   1242.623       156.1181    
  3250.360      0.3904162E-04  0.1053592E-05   1016048.       616819.2       5.591023       7.520780       4.356254       2520.018     -0.1143982E+08   1241.794       155.9531    
  3253.774      0.3871058E-04  0.1046176E-05   1022251.       618441.7       5.605121       7.533918       4.359691       2518.822     -0.1141099E+08   1240.984       155.7895    
  3257.168      0.3838648E-04  0.1038908E-05   1028425.       620057.0       5.619094       7.546951       4.363106       2517.638     -0.1138216E+08   1240.191       155.6271    
  3260.542      0.3806905E-04  0.1031785E-05   1034572.       621665.2       5.632944       7.559882       4.366499       2516.465     -0.1135336E+08   1239.415       155.4661    
  3263.897      0.3775805E-04  0.1024801E-05   1040692.       623266.5       5.646677       7.572714       4.369872       2515.303     -0.1132456E+08   1238.656       155.3063    
  3267.232      0.3745325E-04  0.1017950E-05   1046786.       624860.9       5.660295       7.585450       4.373224       2514.151     -0.1129578E+08   1237.913       155.1478    
  3284.070      0.3676645E-04  0.9848408E-06   1084968.       634462.5       5.747807       7.667886       4.395384       2507.819     -0.1127537E+08   1237.207       154.3523    
  3287.296      0.3649175E-04  0.9787185E-06   1090855.       636039.3       5.760553       7.679964       4.398682       2506.704     -0.1124672E+08   1236.530       154.2008    
  3290.505      0.3622206E-04  0.9727035E-06   1096720.       637610.0       5.773202       7.691958       4.401962       2505.599     -0.1121808E+08   1235.867       154.0505    
  3293.697      0.3595722E-04  0.9667923E-06   1102564.       639174.5       5.785755       7.703870       4.405223       2504.502     -0.1118946E+08   1235.216       153.9012    
  3296.873      0.3569708E-04  0.9609816E-06   1108385.       640733.0       5.798214       7.715701       4.408465       2503.415     -0.1116086E+08   1234.577       153.7529    
  3308.075      0.3524100E-04  0.9407117E-06   1133518.       647124.0       5.853647       7.768384       4.422889       2499.170     -0.1113739E+08   1234.012       153.2322    
  3311.180      0.3499898E-04  0.9353329E-06   1139212.       648669.1       5.865578       7.779805       4.426090       2498.109     -0.1110887E+08   1233.414       153.0886    
  3314.270      0.3476098E-04  0.9300397E-06   1144886.       650208.6       5.877426       7.791154       4.429273       2497.056     -0.1108037E+08   1232.826       152.9458    
  3317.345      0.3452688E-04  0.9248294E-06   1150541.       651742.5       5.889193       7.802432       4.432439       2496.011     -0.1105188E+08   1232.249       152.8041    
  3320.406      0.3429656E-04  0.9196996E-06   1156178.       653271.0       5.900880       7.813640       4.435587       2494.974     -0.1102341E+08   1231.681       152.6632    
  3323.452      0.3406992E-04  0.9146482E-06   1161797.       654794.2       5.912491       7.824780       4.438719       2493.945     -0.1099495E+08   1231.123       152.5233    
  3326.485      0.3384685E-04  0.9096728E-06   1167399.       656312.0       5.924025       7.835853       4.441834       2492.924     -0.1096651E+08   1230.574       152.3842    
  3329.504      0.3362726E-04  0.9047714E-06   1172984.       657824.6       5.935485       7.846861       4.444933       2491.910     -0.1093808E+08   1230.035       152.2460    
  3332.510      0.3341105E-04  0.8999420E-06   1178552.       659332.0       5.946872       7.857804       4.448016       2490.904     -0.1090967E+08   1229.504       152.1087    
  3335.503      0.3319813E-04  0.8951826E-06   1184103.       660834.3       5.958187       7.868683       4.451083       2489.905     -0.1088128E+08   1228.981       151.9722    
