|6.6.6
/home/bob/software/Perple_X/example_23/in23_1.tab                                                   
           2
P(bar)  
   1.0000000000000000     
   999.99599999999998     
         251
T(K)    
   1400.0000000000000     
   100.00000000000000     
           7
          12
rho,kg/m3      alpha,1/K      beta,1/bar     Ks,bar         Gs,bar         v0,km/s        vp,km/s        vs,km/s        s,J/K/kg       h,J/kg         cp,J/K/kg      V,J/bar/mol   
  3376.843      0.3074191E-04  0.8291036E-06   1266508.       698932.4       6.124188       8.068628       4.549484       2316.740     -0.1105194E+08   1212.349       150.1117    
  3379.638      0.3057262E-04  0.8253242E-06   1271753.       700383.3       6.134318       8.078450       4.552320       2315.833     -0.1102361E+08   1211.976       149.9876    
  3382.422      0.3040547E-04  0.8215900E-06   1276986.       701829.9       6.144397       8.088225       4.555143       2314.931     -0.1099529E+08   1211.608       149.8641    
  3385.196      0.3024043E-04  0.8179001E-06   1282208.       703272.5       6.154424       8.097954       4.557954       2314.035     -0.1096700E+08   1211.244       149.7413    
  3387.959      0.3007743E-04  0.8142536E-06   1287419.       704711.0       6.164400       8.107637       4.560752       2313.144     -0.1093872E+08   1210.885       149.6192    
  3390.713      0.2991645E-04  0.8106495E-06   1292618.       706145.5       6.174327       8.117275       4.563537       2312.259     -0.1091045E+08   1210.531       149.4977    
  3393.457      0.2975743E-04  0.8070870E-06   1297807.       707576.1       6.184206       8.126868       4.566310       2311.380     -0.1088220E+08   1210.181       149.3768    
  3396.191      0.2960035E-04  0.8035651E-06   1302985.       709002.7       6.194036       8.136417       4.569071       2310.506     -0.1085397E+08   1209.836       149.2566    
  3398.915      0.2944514E-04  0.8000831E-06   1308153.       710425.4       6.203818       8.145924       4.571820       2309.637     -0.1082575E+08   1209.495       149.1369    
  3401.630      0.2929179E-04  0.7966402E-06   1313310.       711844.3       6.213554       8.155387       4.574556       2308.773     -0.1079755E+08   1209.159       149.0179    
  3404.335      0.2914025E-04  0.7932355E-06   1318457.       713259.3       6.223244       8.164809       4.577281       2307.914     -0.1076937E+08   1208.826       148.8995    
  3407.031      0.2899048E-04  0.7898684E-06   1323594.       714670.6       6.232888       8.174188       4.579994       2307.061     -0.1074120E+08   1208.498       148.7817    
  3409.717      0.2884246E-04  0.7865381E-06   1328721.       716078.1       6.242487       8.183527       4.582696       2306.213     -0.1071305E+08   1208.173       148.6645    
  3412.394      0.2869613E-04  0.7832438E-06   1333838.       717482.0       6.252042       8.192825       4.585386       2305.369     -0.1068491E+08   1207.853       148.5478    
  3415.062      0.2855148E-04  0.7799849E-06   1338946.       718882.2       6.261554       8.202084       4.588065       2304.531     -0.1065679E+08   1207.536       148.4318    
  3417.722      0.2840847E-04  0.7767608E-06   1344044.       720278.7       6.271023       8.211302       4.590732       2303.697     -0.1062869E+08   1207.223       148.3163    
  3420.372      0.2826707E-04  0.7735707E-06   1349133.       721671.7       6.280449       8.220482       4.593388       2302.868     -0.1060060E+08   1206.914       148.2014    
